scenario,agent_id,f_local,m_local,lam_sec,f_local_slot,mec_id
moderate,0,2075234190.5487783,4177.077472082653,0.0835880378311987,2075234190.5487783,0
moderate,1,1845675481.808815,4444.75086424342,0.1174543040453196,1845675481.808815,1
moderate,2,1422350879.5593193,3116.7906744076217,0.1902494866063067,1422350879.5593193,2
moderate,3,862766211.3714311,3819.530831046496,0.1800223078614594,862766211.3714311,3
moderate,4,1576391276.64743,4456.416730996061,0.124873892582409,1576391276.64743,4
moderate,5,1361573756.012886,6518.273844682864,0.0932410608787058,1361573756.012886,5
moderate,6,1146421390.688363,4031.095266760364,0.197552311360391,1146421390.688363,6
moderate,7,1093930078.4102063,5125.594406895895,0.1601798480212747,1093930078.4102063,7
moderate,8,821392453.5014893,5099.239982660461,0.08934737296966,821392453.5014893,8
moderate,9,1378499877.5779154,3320.8988025500503,0.1150779120384267,1378499877.5779154,9
moderate,10,1967237614.9271045,3878.5581320642345,0.0669431549594336,1967237614.9271045,10
moderate,11,1937472601.2864904,5303.971139728006,0.0514919628983937,1937472601.2864904,11
moderate,12,1973372793.833336,4718.837422485313,0.1876534625340322,1973372793.833336,12
moderate,13,2334762077.015009,4156.023983927405,0.171413424220342,2334762077.015009,13
moderate,14,1989450886.7755337,5301.096958236383,0.1693475989379733,1989450886.7755337,14
moderate,15,2245626967.6800814,3973.902321228985,0.1145257419285028,2245626967.6800814,15
moderate,16,969963266.0511726,5954.812618077239,0.1093058212999451,969963266.0511726,16
moderate,17,1298185565.2898846,6890.1233201528485,0.1065910545968349,1298185565.2898846,17
