scenario,episode_id,t_slot,t_time,mec_id,task_id
moderate,0,0,0.0,1,0
moderate,0,0,0.0,1,1
moderate,0,0,0.0,1,2
moderate,0,0,0.0,2,3
moderate,0,0,0.0,3,4
moderate,0,0,0.0,4,5
moderate,0,0,0.0,4,6
moderate,0,0,0.0,4,7
moderate,0,0,0.0,6,8
moderate,0,0,0.0,6,9
moderate,0,0,0.0,6,10
moderate,0,0,0.0,6,11
moderate,0,0,0.0,7,12
moderate,0,0,0.0,8,13
moderate,0,0,0.0,8,14
moderate,0,0,0.0,8,15
moderate,0,0,0.0,8,16
moderate,0,0,0.0,9,17
moderate,0,0,0.0,9,18
moderate,0,0,0.0,9,19
moderate,0,0,0.0,10,20
moderate,0,0,0.0,10,21
moderate,0,0,0.0,11,22
moderate,0,0,0.0,11,23
moderate,0,0,0.0,12,24
moderate,0,0,0.0,12,25
moderate,0,0,0.0,12,26
moderate,0,0,0.0,12,27
moderate,0,0,0.0,12,28
moderate,0,0,0.0,13,29
moderate,0,0,0.0,14,30
moderate,0,0,0.0,15,31
moderate,0,0,0.0,15,32
moderate,0,0,0.0,15,33
moderate,0,0,0.0,15,34
moderate,0,0,0.0,15,35
moderate,0,0,0.0,15,36
moderate,0,0,0.0,16,37
moderate,0,0,0.0,17,38
moderate,0,0,0.0,17,39
moderate,0,0,0.0,17,40
moderate,0,0,0.0,17,41
moderate,0,0,0.0,18,42
moderate,0,0,0.0,18,43
moderate,0,0,0.0,18,44
moderate,0,0,0.0,18,45
moderate,0,0,0.0,18,46
moderate,0,0,0.0,18,47
moderate,0,0,0.0,18,48
moderate,0,0,0.0,19,49
moderate,0,0,0.0,19,50
moderate,0,0,0.0,19,51
moderate,0,0,0.0,19,52
moderate,0,0,0.0,19,53
moderate,0,0,0.0,19,54
moderate,0,1,1.0,0,55
moderate,0,1,1.0,0,56
moderate,0,1,1.0,0,57
moderate,0,1,1.0,0,58
moderate,0,1,1.0,1,59
moderate,0,1,1.0,1,60
moderate,0,1,1.0,1,61
moderate,0,1,1.0,2,62
moderate,0,1,1.0,2,63
moderate,0,1,1.0,2,64
moderate,0,1,1.0,2,65
moderate,0,1,1.0,2,66
moderate,0,1,1.0,2,67
moderate,0,1,1.0,2,68
moderate,0,1,1.0,2,69
moderate,0,1,1.0,3,70
moderate,0,1,1.0,3,71
moderate,0,1,1.0,3,72
moderate,0,1,1.0,4,73
moderate,0,1,1.0,4,74
moderate,0,1,1.0,4,75
moderate,0,1,1.0,5,76
moderate,0,1,1.0,6,77
moderate,0,1,1.0,6,78
moderate,0,1,1.0,7,79
moderate,0,1,1.0,8,80
moderate,0,1,1.0,8,81
moderate,0,1,1.0,8,82
moderate,0,1,1.0,8,83
moderate,0,1,1.0,9,84
moderate,0,1,1.0,9,85
moderate,0,1,1.0,9,86
moderate,0,1,1.0,9,87
moderate,0,1,1.0,10,88
moderate,0,1,1.0,11,89
moderate,0,1,1.0,11,90
moderate,0,1,1.0,11,91
moderate,0,1,1.0,12,92
moderate,0,1,1.0,12,93
moderate,0,1,1.0,13,94
moderate,0,1,1.0,13,95
moderate,0,1,1.0,14,96
moderate,0,1,1.0,14,97
moderate,0,1,1.0,14,98
moderate,0,1,1.0,15,99
moderate,0,1,1.0,15,100
moderate,0,1,1.0,16,101
moderate,0,1,1.0,16,102
moderate,0,1,1.0,16,103
moderate,0,1,1.0,17,104
moderate,0,1,1.0,17,105
moderate,0,1,1.0,17,106
moderate,0,1,1.0,17,107
moderate,0,1,1.0,17,108
moderate,0,1,1.0,17,109
moderate,0,1,1.0,18,110
moderate,0,1,1.0,18,111
moderate,0,1,1.0,18,112
moderate,0,1,1.0,19,113
moderate,0,1,1.0,19,114
moderate,0,2,2.0,0,115
moderate,0,2,2.0,0,116
moderate,0,2,2.0,0,117
moderate,0,2,2.0,0,118
moderate,0,2,2.0,1,119
moderate,0,2,2.0,1,120
moderate,0,2,2.0,1,121
moderate,0,2,2.0,2,122
moderate,0,2,2.0,3,123
moderate,0,2,2.0,3,124
moderate,0,2,2.0,3,125
moderate,0,2,2.0,4,126
moderate,0,2,2.0,4,127
moderate,0,2,2.0,4,128
moderate,0,2,2.0,5,129
moderate,0,2,2.0,6,130
moderate,0,2,2.0,6,131
moderate,0,2,2.0,6,132
moderate,0,2,2.0,8,133
moderate,0,2,2.0,8,134
moderate,0,2,2.0,9,135
moderate,0,2,2.0,10,136
moderate,0,2,2.0,12,137
moderate,0,2,2.0,13,138
moderate,0,2,2.0,13,139
moderate,0,2,2.0,14,140
moderate,0,2,2.0,14,141
moderate,0,2,2.0,15,142
moderate,0,2,2.0,16,143
moderate,0,2,2.0,16,144
moderate,0,2,2.0,16,145
moderate,0,2,2.0,17,146
moderate,0,2,2.0,17,147
moderate,0,2,2.0,17,148
moderate,0,2,2.0,18,149
moderate,0,2,2.0,19,150
moderate,0,2,2.0,19,151
moderate,0,2,2.0,19,152
