scenario,agent_id,f_local,m_local,lam_sec,f_local_slot,mec_id
heavy,0,1741183144.3136077,5713.849720873617,0.7086731307726553,1741183144.3136077,0
heavy,1,1352325990.292719,4566.428755226945,0.2349891406943986,1352325990.292719,1
heavy,2,1726668018.228366,5815.120004142882,0.2281740236200737,1726668018.228366,2
heavy,3,1543615689.5906515,3539.8502449764715,0.3103691157489965,1543615689.5906515,3
heavy,4,1130883316.2499306,4161.367769267644,0.5489902240345828,1130883316.2499306,4
heavy,5,1761335598.800205,7349.509397341202,0.427498357376186,1761335598.800205,5
heavy,6,1093196405.3499284,6389.821852663862,0.733849056095718,1093196405.3499284,6
heavy,7,1022065734.3101188,5354.805770714971,0.4921604382820959,1022065734.3101188,7
heavy,8,1280853044.567822,3931.170812793821,0.6474436957731176,1280853044.567822,8
heavy,9,1260888990.799034,5133.304392097348,0.4349451932974034,1260888990.799034,9
heavy,10,807784002.4160662,6774.364060973872,0.696331844166991,807784002.4160662,10
heavy,11,1252717976.847923,5907.761752833087,0.2501393342202387,1252717976.847923,11
heavy,12,1849536564.225105,4251.816940584487,0.2756326548393482,1849536564.225105,12
heavy,13,2013685316.3846216,3452.48629071438,0.3878146290311065,2013685316.3846216,13
heavy,14,1566043114.753169,6514.168779769583,0.4107454972282179,1566043114.753169,14
heavy,15,1573527671.207924,7018.517023496367,0.7469946126512319,1573527671.207924,15
heavy,16,1386094544.3157153,6122.34744190438,0.4149915047394955,1386094544.3157153,16
heavy,17,1604826297.7357206,3449.2921666610664,0.516950778549681,1604826297.7357206,17
