features,k_selection,final,profiles
"[[ 0.96088981  0.328331    1.43337771  1.07732274  0.30434783  0.
   0.34782609  0.08695652  0.26086957 -0.13063682 -0.87636464 -0.00693046
   0.44927536  0.30434783]
 [-0.29061712 -0.58763876 -1.40608154 -1.47870589  0.29411765  0.
   0.47058824  0.05882353  0.17647059  1.15985593 -1.91786076  2.2563436
   0.41176471  0.29411765]
 [ 0.91417399  0.40917362 -0.63168356 -0.52262992  0.15384615  0.
   0.53846154  0.11538462  0.19230769 -1.45669064  0.45675902 -0.16550383
   0.5         0.15384615]
 [ 0.32503411 -1.40714171 -0.51368006 -0.9506008   0.3         0.
   0.33333333  0.16666667  0.2         2.18260758 -1.36320898 -1.65595449
   0.43333333  0.3       ]
 [-1.00331338 -0.91099315 -0.0704474  -0.01495315  0.25        0.
   0.51923077  0.07692308  0.15384615  0.05523317  0.17442416  1.47768522
   0.38461538  0.25      ]
 [ 1.02574894  1.63405474 -0.51368006 -0.06586945  0.42857143  0.
   0.23809524  0.11904762  0.21428571 -0.6098531  -0.47242508 -1.13121636
   0.47619048  0.42857143]
 [-1.12460581  0.86794989  0.66635495  0.73762848  0.27631579  0.
   0.39473684  0.09210526  0.23684211 -0.7948978   2.10846097  0.58252781
   0.47368421  0.27631579]
 [-1.35353442  0.04171135 -0.18917043 -0.52811673  0.33333333  0.
   0.28888889  0.17777778  0.2         1.94717619 -0.13548398  0.12272945
   0.44444444  0.33333333]
 [-0.52064731 -1.0947561   0.64013195  0.11457116  0.43548387  0.
   0.32258065  0.08064516  0.16129032 -0.50708462  1.00311657 -0.37803553
   0.41935484  0.43548387]
 [-0.58490009 -0.13511004 -0.60983106  1.33875733  0.34375     0.
   0.375       0.09375     0.1875     -0.01016179  0.09723533 -0.94381969
   0.46875     0.34375   ]
 [-2.04318374  1.17492444  1.8969629   1.37306159  0.44155844  0.
   0.36363636  0.06493506  0.12987013 -0.57330474 -0.05177173  1.1269848
   0.48051948  0.44155844]
 [-0.61119787  0.4831282  -1.03289547 -1.23788997  0.39285714  0.
   0.35714286  0.07142857  0.17857143 -1.60053202  0.60174026  1.12516861
   0.42857143  0.39285714]
 [ 1.30961699 -0.83878887 -0.45959512 -0.48219455  0.24137931  0.
   0.48275862  0.17241379  0.10344828  0.22149567  1.97954744 -0.36981663
   0.55172414  0.24137931]
 [ 1.83791716 -1.47688311 -0.85727849 -1.14037974  0.30769231  0.
   0.43589744  0.12820513  0.12820513  0.82368649 -0.748639    0.20061949
   0.33333333  0.30769231]
 [ 0.39721506  0.96721427 -0.04166605 -0.12483648  0.35714286  0.
   0.33333333  0.04761905  0.26190476 -0.97088294 -0.56416591 -1.42418183
   0.54761905  0.35714286]
 [ 0.42130353  1.36982826  2.31840397  2.21589598  0.41111111  0.
   0.34444444  0.14444444  0.1         0.36032796  0.4709712  -0.06986729
   0.46666667  0.41111111]
 [-0.18193561  0.65442889 -0.85727849 -0.8331186   0.28205128  0.
   0.35897436  0.1025641   0.25641026 -0.07449615 -0.57996747 -0.73591645
   0.48717949  0.28205128]
 [ 0.52203576 -1.47943293  0.22805623  0.52205796  0.41304348  0.
   0.19565217  0.2173913   0.17391304 -0.02184237 -0.18236737 -0.01081641
   0.26086957  0.41304348]]",,,
"['f_local_slot', 'm_local', 'lambda_mean', 'lambda_var', 'P_deadline_hard', 'P_latency_sensitive', 'P_compute_intensive', 'P_data_intensive', 'P_general', 'b_mb_med', 'rho_med', 'mem_med', 'non_atomic_share', 'hard_share']",,,
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],
18,,,
14,,,
,"   K    inertia  silhouette  davies_bouldin  calinski_harabasz  sil_norm  \
0  2  97.759386    0.219523        1.229039           4.706133  1.000000   
1  3  84.040590    0.151860        1.016496           3.790409  0.000000   
2  4  66.590012    0.152621        1.222361           4.199485  0.011256   

    ch_norm  db_norm     score  elbow_score  
0  1.000000  1.00000  0.600000          0.0  
1  0.000000  0.00000  0.000000          1.0  
2  0.446725  0.96858 -0.010524          0.0  ",,
,2,,
,3,,
,./artifacts/clustering\ep_000\full_mesh\heavy\elbow_and_score.png,,
,,2,2
