scenario,episode_id,t_slot,t_time,agent_id,task_id
light,0,0,0.0,1,0
light,0,0,0.0,17,1
light,0,7,7.0,17,2
light,0,9,9.0,3,3
light,0,13,13.0,15,4
light,0,14,14.0,15,5
light,0,16,16.0,15,6
light,0,17,17.0,3,7
light,0,17,17.0,7,8
light,0,17,17.0,15,9
light,0,18,18.0,17,10
light,0,20,20.0,14,11
light,0,23,23.0,15,12
light,0,24,24.0,10,13
light,0,24,24.0,14,14
light,0,25,25.0,12,15
light,0,26,26.0,7,16
light,0,26,26.0,10,17
light,0,26,26.0,16,18
light,0,29,29.0,6,19
light,0,30,30.0,13,20
light,0,32,32.0,2,21
light,0,33,33.0,2,22
light,0,34,34.0,1,23
light,0,34,34.0,6,24
light,0,35,35.0,7,25
light,0,36,36.0,2,26
light,0,36,36.0,4,27
light,0,36,36.0,16,28
light,0,38,38.0,8,29
light,0,41,41.0,8,30
light,0,44,44.0,5,31
light,0,47,47.0,4,32
light,0,49,49.0,14,33
light,0,50,50.0,6,34
light,0,50,50.0,13,35
light,0,51,51.0,13,36
light,0,54,54.0,8,37
light,0,56,56.0,16,38
light,0,58,58.0,11,39
light,0,59,59.0,2,40
light,0,59,59.0,15,41
light,0,60,60.0,1,42
light,0,60,60.0,15,43
light,0,61,61.0,14,44
light,0,62,62.0,15,45
light,0,63,63.0,3,46
light,0,65,65.0,10,47
light,0,70,70.0,12,48
light,0,71,71.0,1,49
light,0,71,71.0,6,50
light,0,71,71.0,14,51
light,0,72,72.0,3,52
light,0,73,73.0,14,53
light,0,75,75.0,12,54
light,0,80,80.0,6,55
light,0,81,81.0,8,56
light,0,86,86.0,4,57
light,0,87,87.0,17,58
light,0,89,89.0,11,59
light,0,91,91.0,6,60
light,0,91,91.0,7,61
light,0,91,91.0,14,62
light,0,93,93.0,7,63
light,0,93,93.0,9,64
light,0,93,93.0,13,65
light,0,95,95.0,8,66
light,0,96,96.0,9,67
light,0,97,97.0,1,68
light,0,99,99.0,15,69
