agent_id,f_local,f_local_slot,m_local,lambda_mean,lambda_var,slots_observed,n_tasks_agent,TaskDist_sum,b_mb_med,rho_med,mem_med,hard_share,P_general,P_latency_sensitive,P_deadline_hard,P_data_intensive,P_compute_intensive,non_atomic_share,mec_id
0,2075234190.5487783,2075234190.5487783,4177.077472082653,1.0381679389312977,0.044514638355122725,262.0,272.0,1.0,3.05253275,1277347500.0,66.75548,0.26838235294117646,0.17647058823529413,0.0,0.26838235294117646,0.08823529411764706,0.46691176470588236,0.33088235294117646,0
1,1845675481.808815,1845675481.808815,4444.75086424342,1.0413625304136254,0.0397483828852887,411.0,428.0,1.0,3.17828935,1206909850.0,62.468972,0.27102803738317754,0.18925233644859812,0.0,0.27102803738317754,0.1378504672897196,0.40186915887850466,0.3691588785046729,1
2,1422350879.5593193,1422350879.5593193,3116.7906744076217,1.10625,0.10762910798122066,640.0,708.0,1.0,3.0060024,1234846100.0,63.4836775,0.2669491525423729,0.22175141242937854,0.0,0.2669491525423729,0.11299435028248588,0.3983050847457627,0.3813559322033898,2
3,862766211.3714311,862766211.3714311,3819.530831046496,1.0909090909090908,0.10340518587941275,583.0,636.0,1.0,3.0405841000000002,1224254800.0,62.2983715,0.26257861635220126,0.20911949685534592,0.0,0.26257861635220126,0.11949685534591195,0.4088050314465409,0.35691823899371067,3
4,1576391276.64743,1576391276.64743,4456.416730996061,1.0432692307692308,0.046316033364226135,416.0,434.0,1.0,2.91514805,1249325850.0,64.4964225,0.2695852534562212,0.21428571428571427,0.0,0.2695852534562212,0.0967741935483871,0.41935483870967744,0.38940092165898615,4
5,1361573756.012886,1361573756.012886,6518.273844682864,1.0369230769230768,0.03566951566951565,325.0,337.0,1.0,3.1598349,1193991200.0,65.69682,0.2522255192878338,0.22255192878338279,0.0,0.2522255192878338,0.11275964391691394,0.4124629080118694,0.34124629080118696,5
6,1146421390.688363,1146421390.688363,4031.095266760364,1.0930232558139534,0.10624006933410376,645.0,705.0,1.0,2.9205225,1200091600.0,65.34442,0.24964539007092199,0.24397163120567375,0.0,0.24964539007092199,0.1049645390070922,0.4014184397163121,0.32056737588652484,6
7,1093930078.4102063,1093930078.4102063,5125.594406895895,1.0828516377649327,0.09157795284962919,519.0,562.0,1.0,2.9998029500000003,1207762750.0,63.461262,0.2313167259786477,0.21530249110320285,0.0,0.2313167259786477,0.12633451957295375,0.42704626334519574,0.33807829181494664,7
8,821392453.5014893,821392453.5014893,5099.239982660461,1.029126213592233,0.028369688563863325,309.0,318.0,1.0,2.8636055000000002,1222343650.0,66.16744750000001,0.22955974842767296,0.22641509433962265,0.0,0.22955974842767296,0.0880503144654088,0.4559748427672956,0.34276729559748426,8
9,1378499877.5779154,1378499877.5779154,3320.8988025500503,1.0537084398976981,0.05608236605679062,391.0,412.0,1.0,2.9490143499999997,1216544350.0,64.388865,0.26941747572815533,0.22572815533980584,0.0,0.26941747572815533,0.10436893203883495,0.40048543689320387,0.3640776699029126,9
10,1967237614.9271045,1967237614.9271045,3878.5581320642345,1.0585365853658537,0.06518412242945959,205.0,217.0,0.9999999999999999,3.0592935,1129436500.0,64.489784,0.2350230414746544,0.2857142857142857,0.0,0.2350230414746544,0.1152073732718894,0.3640552995391705,0.31336405529953915,10
11,1937472601.2864904,1937472601.2864904,5303.971139728006,1.018181818181818,0.01796008869179599,165.0,168.0,1.0,3.0061749,1243016000.0,62.257278,0.19047619047619047,0.23809523809523808,0.0,0.19047619047619047,0.10119047619047619,0.47023809523809523,0.3630952380952381,11
12,1973372793.833336,1973372793.833336,4718.837422485313,1.1144781144781144,0.11166186882881639,594.0,662.0,1.0,3.03624285,1197244000.0,62.8089175,0.2311178247734139,0.23413897280966767,0.0,0.2311178247734139,0.13293051359516617,0.40181268882175225,0.34894259818731116,12
13,2334762077.015009,2334762077.015009,4156.023983927405,1.1064189189189189,0.11217530982759412,592.0,655.0,1.0,2.9717367,1209705300.0,64.87331,0.24122137404580152,0.23206106870229007,0.0,0.24122137404580152,0.11450381679389313,0.4122137404580153,0.31603053435114503,13
14,1989450886.7755337,1989450886.7755337,5301.096958236383,1.0774774774774776,0.0752138420008456,555.0,598.0,1.0,2.97128615,1207868950.0,63.704429000000005,0.2792642140468227,0.23244147157190637,0.0,0.2792642140468227,0.10702341137123746,0.38127090301003347,0.35785953177257523,14
15,2245626967.6800814,2245626967.6800814,3973.902321228985,1.0527704485488127,0.05011796568524801,379.0,399.0,1.0,2.9632761,1188409000.0,66.24155,0.2781954887218045,0.20802005012531327,0.0,0.2781954887218045,0.11278195488721804,0.40100250626566414,0.40100250626566414,15
16,969963266.0511726,969963266.0511726,5954.812618077239,1.0588235294117647,0.06113681427627235,357.0,378.0,1.0,3.0163425,1233260650.0,67.249938,0.28835978835978837,0.18253968253968253,0.0,0.28835978835978837,0.08465608465608465,0.4444444444444444,0.3333333333333333,16
17,1298185565.2898846,1298185565.2898846,6890.1233201528485,1.0596590909090908,0.06765572390572393,352.0,373.0,1.0,2.9703104,1160207100.0,63.950405,0.26541554959785524,0.225201072386059,0.0,0.26541554959785524,0.10723860589812333,0.40214477211796246,0.3190348525469169,17
