agent_id,f_local,f_local_slot,m_local,lambda_mean,lambda_var,slots_observed,n_tasks_agent,TaskDist_sum,b_mb_med,rho_med,mem_med,hard_share,P_general,P_latency_sensitive,P_deadline_hard,P_data_intensive,P_compute_intensive,non_atomic_share,mec_id
0,1741183144.3136077,1741183144.3136077,5713.849720873617,1.4003250270855905,0.47434135771476876,1846.0,2585.0,1.0,4.9751496,1496395100.0,64.06216,0.3439071566731141,0.1825918762088975,0.0,0.3439071566731141,0.09361702127659574,0.3798839458413926,0.46731141199226306,0
1,1352325990.292719,1352325990.292719,4566.428755226945,1.1253481894150419,0.140472333267289,718.0,808.0,1.0,4.90346325,1542845750.0,64.02049199999999,0.35396039603960394,0.16955445544554457,0.0,0.35396039603960394,0.09282178217821782,0.38366336633663367,0.43316831683168316,1
2,1726668018.228366,1726668018.228366,5815.120004142882,1.13406292749658,0.13816689466484244,731.0,829.0,1.0,4.9100494,1540340700.0,66.00642,0.3341375150784077,0.18455971049457176,0.0,0.3341375150784077,0.08685162846803378,0.3944511459589867,0.43425814234016885,2
3,1543615689.5906515,1543615689.5906515,3539.8502449764715,1.139917695473251,0.14724118786368467,972.0,1108.0,1.0,5.06714235,1470254050.0,64.5170425,0.37184115523465705,0.18231046931407943,0.0,0.37184115523465705,0.08664259927797834,0.3592057761732852,0.4359205776173285,3
4,1130883316.2499306,1130883316.2499306,4161.367769267644,1.2776659959758552,0.2879505219234872,1491.0,1905.0,1.0,5.0317144,1515056800.0,64.294464,0.34488188976377954,0.18530183727034122,0.0,0.34488188976377954,0.09553805774278215,0.3742782152230971,0.4409448818897638,4
5,1761335598.800205,1761335598.800205,7349.509397341202,1.214229867083659,0.22324023193981005,1279.0,1553.0,1.0,4.9548936,1493983000.0,63.261272,0.33354797166773986,0.180296200901481,0.0,0.33354797166773986,0.10882163554410818,0.37733419188667094,0.4307791371538957,5
6,1093196405.3499284,1093196405.3499284,6389.821852663862,1.4107048224695284,0.45106244039560744,1887.0,2662.0,1.0,4.970322149999999,1509935100.0,64.400655,0.3534936138241923,0.18782870022539444,0.0,0.3534936138241923,0.09090909090909091,0.3677685950413223,0.4470323065364388,6
7,1022065734.3101188,1022065734.3101188,5354.805770714971,1.251793400286944,0.26605923653932717,1394.0,1745.0,1.0,4.8749413,1516990000.0,63.494762,0.3484240687679083,0.1828080229226361,0.0,0.3484240687679083,0.09627507163323783,0.37249283667621774,0.4297994269340974,7
8,1280853044.567822,1280853044.567822,3931.170812793821,1.3469740634005765,0.37204245319080326,1735.0,2337.0,1.0,4.9793468,1471601400.0,63.057762,0.3513050919982884,0.18271287976037656,0.0,0.3513050919982884,0.11510483525887891,0.3508771929824561,0.45228925973470263,8
9,1260888990.799034,1260888990.799034,5133.304392097348,1.2568735271013354,0.2916685193693892,1273.0,1600.0,1.0,4.9644186999999995,1506368550.0,62.98717,0.35125,0.19625,0.0,0.35125,0.09125,0.36125,0.46,9
10,807784002.4160662,807784002.4160662,6774.364060973872,1.3844086021505377,0.4357976597430699,1860.0,2575.0,1.0,5.023674,1492775200.0,64.19034,0.3545631067961165,0.1829126213592233,0.0,0.3545631067961165,0.08893203883495146,0.37359223300970873,0.4450485436893204,10
11,1252717976.847923,1252717976.847923,5907.761752833087,1.1293103448275863,0.12999064586079334,812.0,917.0,1.0,5.092201,1533240400.0,64.098305,0.3489640130861505,0.17011995637949837,0.0,0.3489640130861505,0.08833151581243184,0.3925845147219193,0.44383860414394766,11
12,1849536564.225105,1849536564.225105,4251.816940584487,1.1282932416953035,0.14407242767216275,873.0,985.0,1.0,4.941554,1475061200.0,63.059128,0.3411167512690355,0.18984771573604062,0.0,0.3411167512690355,0.09644670050761421,0.3725888324873096,0.4588832487309645,12
13,2013685316.3846216,2013685316.3846216,3452.48629071438,1.1979166666666667,0.19884882710686383,1152.0,1380.0,1.0,5.0244665,1453782000.0,62.179445,0.3391304347826087,0.21811594202898552,0.0,0.3391304347826087,0.10797101449275362,0.3347826086956522,0.4463768115942029,13
14,1566043114.753169,1566043114.753169,6514.168779769583,1.2223127035830619,0.23008038461436306,1228.0,1501.0,0.9999999999999999,4.9926224,1487919100.0,63.73922,0.3331112591605596,0.1905396402398401,0.0,0.3331112591605596,0.09127248500999334,0.38507661558960693,0.4576948700866089,14
15,1573527671.207924,1573527671.207924,7018.517023496367,1.4346694429984383,0.4812765703626583,1921.0,2756.0,1.0,4.9608935,1498425400.0,64.49641,0.3497822931785196,0.17561683599419448,0.0,0.3497822931785196,0.0965166908563135,0.37808417997097243,0.46480406386066764,15
16,1386094544.3157153,1386094544.3157153,6122.34744190438,1.2072784810126582,0.21828427393086605,1264.0,1526.0,1.0,4.822063249999999,1508338300.0,65.064335,0.34600262123197906,0.182175622542595,0.0,0.34600262123197906,0.08191349934469201,0.38990825688073394,0.4613368283093054,16
17,1604826297.7357206,1604826297.7357206,3449.2921666610664,1.2688904016337645,0.2948149123669368,1469.0,1864.0,1.0,4.9234495,1509357700.0,63.177245,0.36105150214592274,0.18830472103004292,0.0,0.36105150214592274,0.09603004291845493,0.3546137339055794,0.44527896995708155,17
