agent_id,f_local,f_local_slot,m_local,lambda_mean,lambda_var,slots_observed,n_tasks_agent,TaskDist_sum,b_mb_med,rho_med,mem_med,hard_share,P_general,P_latency_sensitive,P_deadline_hard,P_data_intensive,P_compute_intensive,non_atomic_share,mec_id
0,921468340.6852636,921468340.6852636,5152.146293965804,1.0158730158730158,0.015873015873015876,63.0,64.0,1.0,2.02415445,931838560.0,63.4712475,0.1875,0.171875,0.0,0.1875,0.15625,0.484375,0.21875,0
1,1988512009.842108,1988512009.842108,4208.470915350352,1.0114942528735633,0.011494252873563222,87.0,88.0,1.0,2.0208915000000003,945776550.0,63.9755775,0.20454545454545456,0.25,0.0,0.20454545454545456,0.10227272727272728,0.4431818181818182,0.2159090909090909,1
2,1361338717.739572,1361338717.739572,4466.022492234455,1.0091743119266054,0.009174311926605509,109.0,110.0,1.0,1.9681853999999999,959029000.0,62.608678,0.12727272727272726,0.3,0.0,0.12727272727272726,0.16363636363636364,0.4090909090909091,0.22727272727272727,2
3,2155302657.1767225,2155302657.1767225,7570.283243827353,1.0,0.0,155.0,155.0,1.0,1.9358466,944273200.0,66.90623,0.17419354838709677,0.2645161290322581,0.0,0.17419354838709677,0.11612903225806452,0.44516129032258067,0.3161290322580645,3
4,872740304.1028006,872740304.1028006,6918.455560082204,1.0205479452054795,0.020264525271610778,146.0,149.0,1.0,1.9709628,1037050300.0,67.3254,0.10738255033557047,0.2348993288590604,0.0,0.10738255033557047,0.12751677852348994,0.5302013422818792,0.26174496644295303,4
5,2350478061.5494094,2350478061.5494094,7997.2193166474335,1.0,0.0,48.0,48.0,1.0,2.0582183499999998,1099322000.0,65.70034,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.020833333333333332,0.5625,0.25,5
6,1080474240.241284,1080474240.241284,3611.6648183973775,1.0272727272727273,0.026772310258548794,110.0,113.0,1.0,2.1544297,1101100800.0,63.082146,0.13274336283185842,0.20353982300884957,0.0,0.13274336283185842,0.1415929203539823,0.5221238938053098,0.25663716814159293,6
7,1483436882.4705813,1483436882.4705813,5690.301813825439,1.019047619047619,0.018864468864468877,105.0,107.0,1.0,2.1495624,1134072700.0,62.56825,0.16822429906542055,0.18691588785046728,0.0,0.16822429906542055,0.11214953271028037,0.5327102803738317,0.17757009345794392,7
8,1782616058.5334897,1782616058.5334897,5312.418572922468,1.0145985401459854,0.01449119793902963,137.0,139.0,1.0,2.0667553,948630400.0,65.613174,0.15827338129496402,0.2302158273381295,0.0,0.15827338129496402,0.1510791366906475,0.460431654676259,0.35251798561151076,8
9,2164537873.433994,2164537873.433994,6264.107461782702,1.0479041916167664,0.04588413534377031,167.0,175.0,1.0,1.9292754,1067971260.0,64.57329,0.14285714285714285,0.22285714285714286,0.0,0.14285714285714285,0.10285714285714286,0.5314285714285715,0.24,9
10,2381891964.474189,2381891964.474189,5233.485874925933,1.033112582781457,0.03222958057395142,151.0,156.0,1.0,2.08187485,967793870.0,63.2860825,0.16025641025641027,0.27564102564102566,0.0,0.16025641025641027,0.14743589743589744,0.4166666666666667,0.28205128205128205,10
11,1698112025.7091348,1698112025.7091348,5619.134660823344,1.0,0.0,121.0,121.0,1.0,1.8960786,1028941700.0,61.2674,0.1322314049586777,0.2727272727272727,0.0,0.1322314049586777,0.11570247933884298,0.4793388429752066,0.19834710743801653,11
12,1170522747.329111,1170522747.329111,5302.008005732656,1.0158730158730158,0.015746031746031747,126.0,128.0,1.0,1.837864,975368450.0,65.089425,0.15625,0.296875,0.0,0.15625,0.1171875,0.4296875,0.2578125,12
13,1004000025.0187654,1004000025.0187654,6356.746539742655,1.0,0.0,94.0,94.0,1.0,2.02337395,909267275.0,67.328752,0.1276595744680851,0.24468085106382978,0.0,0.1276595744680851,0.13829787234042554,0.48936170212765956,0.18085106382978725,13
14,1206140586.857428,1206140586.857428,4332.4620995257865,1.0158730158730158,0.015746031746031747,126.0,128.0,1.0,2.1573582499999997,989607825.0,65.984988,0.1875,0.1953125,0.0,0.1875,0.1484375,0.46875,0.2734375,14
15,2062918354.178074,2062918354.178074,5181.575791818919,1.034965034965035,0.03398010440263961,143.0,148.0,1.0,2.1301402,984591430.0,63.801233499999995,0.12837837837837837,0.18243243243243243,0.0,0.12837837837837837,0.18243243243243243,0.5067567567567568,0.2702702702702703,15
16,1493699648.2966163,1493699648.2966163,6776.846182450634,1.0,0.0,98.0,98.0,1.0,2.1749555999999997,933724780.0,61.859763,0.20408163265306123,0.24489795918367346,0.0,0.20408163265306123,0.15306122448979592,0.3979591836734694,0.2653061224489796,16
17,1302068106.5407624,1302068106.5407624,6167.829827661497,1.010989010989011,0.01098901098901099,91.0,92.0,1.0,2.015522,1006601075.0,65.61749,0.09782608695652174,0.25,0.0,0.09782608695652174,0.13043478260869565,0.5217391304347826,0.25,17
