features,k_selection,final,profiles
"[[-1.34741798e+00 -4.58554086e-01 -4.12310563e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00 -3.19792141e+00 -3.17467924e+00 -2.87539931e+00
   0.00000000e+00  0.00000000e+00]
 [ 8.28464151e-01 -1.28519600e+00  2.42535625e-01  0.00000000e+00
   6.00000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   4.00000000e-01 -7.78312307e-02  3.63440701e-01 -3.60109055e-01
   2.00000000e-01  6.00000000e-01]
 [-4.50448041e-01 -1.05958565e+00  2.42535625e-01  0.00000000e+00
   2.50000000e-01  0.00000000e+00  0.00000000e+00  5.00000000e-01
   2.50000000e-01  4.77615624e-01 -8.17988759e-02 -1.55064188e-02
   2.50000000e-01  2.50000000e-01]
 [ 1.16857843e+00  1.65968848e+00  2.42535625e-01  0.00000000e+00
   5.00000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   5.00000000e-01  7.55228831e-01 -2.77158525e-01 -4.37458987e-01
   0.00000000e+00  5.00000000e-01]
 [-1.44678267e+00  1.08869967e+00  2.42535625e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  6.66666667e-01  0.00000000e+00
   3.33333333e-01  2.54946205e-01  7.88946457e-02  7.71173121e-02
   6.66666667e-01  0.00000000e+00]
 [ 1.56657402e+00  2.03367647e+00  2.42535625e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.22505646e-01 -1.37090725e+00  2.19526369e+00
   0.00000000e+00  0.00000000e+00]
 [-1.02317811e+00 -1.80798694e+00  2.42535625e-01  0.00000000e+00
   3.33333333e-01  0.00000000e+00  1.66666667e-01  0.00000000e+00
   5.00000000e-01  1.13934476e+00  3.54519437e-02 -1.08890490e-01
   3.33333333e-01  3.33333333e-01]
 [-2.01469276e-01  1.28600457e-02  2.42535625e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  6.00000000e-01  0.00000000e+00
   4.00000000e-01 -6.46416966e-01  3.90581481e-02  9.21344512e-03
   4.00000000e-01  0.00000000e+00]
 [ 4.08607556e-01 -3.18158579e-01  2.42535625e-01  0.00000000e+00
   2.00000000e-01  0.00000000e+00  2.00000000e-01  4.00000000e-01
   2.00000000e-01  4.29911191e-01  2.93900512e-01 -6.27034440e-01
   6.00000000e-01  2.00000000e-01]
 [ 1.18741059e+00  5.15503020e-01  2.42535625e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00 -9.22392971e-01  1.56896936e+00 -8.95174394e-02
   0.00000000e+00  0.00000000e+00]
 [ 1.63063227e+00 -3.87302140e-01  2.42535625e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  6.66666667e-01  0.00000000e+00
   3.33333333e-01 -4.59710608e-01  1.17128688e-01  4.62852221e-02
   0.00000000e+00  0.00000000e+00]
 [ 2.36289572e-01 -4.94810442e-02  2.42535625e-01  0.00000000e+00
   5.00000000e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00
   0.00000000e+00  2.54662715e-01 -5.41281658e-01  1.90215628e+00
   5.00000000e-01  5.00000000e-01]
 [-8.39554009e-01 -3.27278040e-01  2.42535625e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  3.33333333e-01  3.33333333e-01
   3.33333333e-01 -7.18191679e-01  3.91008803e-02 -1.19319579e-04
   3.33333333e-01  0.00000000e+00]
 [-1.17912194e+00  5.96653113e-01  2.42535625e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  7.50000000e-01  2.50000000e-01
   0.00000000e+00  1.22135342e+00 -4.18896712e-02 -5.44148402e-02
   0.00000000e+00  0.00000000e+00]
 [-7.66923223e-01 -1.17658205e+00  2.42535625e-01  0.00000000e+00
   2.85714286e-01  0.00000000e+00  5.71428571e-01  1.42857143e-01
   0.00000000e+00 -5.73085204e-01  3.35403132e-04  4.85457109e-01
   2.85714286e-01  2.85714286e-01]
 [ 9.80191244e-01 -4.32774398e-01  2.42535625e-01  0.00000000e+00
   2.22222222e-01  0.00000000e+00  5.55555556e-01  1.11111111e-01
   1.11111111e-01  7.56751593e-01  1.13489642e+00 -4.41791727e-01
   5.55555556e-01  2.22222222e-01]
 [-1.80541765e-01  9.64652513e-01  2.42535625e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  6.66666667e-01  3.33333333e-01
   0.00000000e+00  7.57822505e-01  8.04601119e-01 -4.62014642e-02
   3.33333333e-01  0.00000000e+00]
 [-5.71310820e-01  4.31165620e-01  2.42535625e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00 -7.45924167e-02  1.01193741e+00  3.40950440e-01
   5.00000000e-01  0.00000000e+00]]",,,
"['f_local_slot', 'm_local', 'lambda_mean', 'lambda_var', 'P_deadline_hard', 'P_latency_sensitive', 'P_compute_intensive', 'P_data_intensive', 'P_general', 'b_mb_med', 'rho_med', 'mem_med', 'non_atomic_share', 'hard_share']",,,
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],
18,,,
14,,,
,"   K    inertia  silhouette  davies_bouldin  calinski_harabasz  sil_norm  \
0  2  91.714882    0.164293        1.777198           3.830556   1.00000   
1  3  49.972316    0.109467        1.112915           9.560294   0.00000   
2  4  37.556150    0.138905        1.026286           9.458072   0.53693   

    ch_norm   db_norm     score  elbow_score  
0  0.000000  1.000000  0.200000          0.0  
1  1.000000  0.115366  0.376927          1.0  
2  0.982159  0.000000  0.607636          0.0  ",,
,4,,
,3,,
,./artifacts/clustering\ep_000\sparse_ring\light\elbow_and_score.png,,
,,4,4
