scenario,episode_id,task_id,mec_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
heavy,0,0,0,0,0.0,5.0,1588425600.0,7942128000.0,76.21738,text,1,0.5784042,0.5784042,1,0.40844887,continuous
heavy,0,1,0,0,0.0,4.0,1486159700.0,5944639000.0,96.590225,text,0,,,0,0.0,discrete
heavy,0,2,0,0,0.0,2.0,2441022200.0,4882044400.0,95.32592,sensor,0,,,0,0.0,discrete
heavy,0,3,0,0,0.0,5.0,2564350500.0,12821752000.0,75.99003,image,1,0.49564713,0.49564713,1,0.8008977,continuous
heavy,0,4,0,0,0.0,4.0,1821414500.0,7285658000.0,74.96406,text,0,,,1,0.51673454,continuous
heavy,0,5,0,0,0.0,2.0,1949647700.0,3899295500.0,61.63166,image,0,,,1,0.76657915,continuous
heavy,0,6,1,0,0.0,3.0,1088945500.0,3266836700.0,65.734726,image,0,,,0,0.0,discrete
heavy,0,7,1,0,0.0,4.0,1715116000.0,6860464000.0,78.50523,image,1,0.6051038,0.6051038,1,0.5720483,continuous
heavy,0,8,1,0,0.0,5.0,549208600.0,2746043100.0,40.375835,text,1,0.3029565,0.3029565,0,0.0,discrete
heavy,0,9,1,0,0.0,3.0,1454239100.0,4362717000.0,112.53555,video,0,,,0,0.0,discrete
heavy,0,10,1,0,0.0,2.0,849160500.0,1698321000.0,62.004562,text,0,,,1,0.5206632,continuous
heavy,0,11,1,0,0.0,2.0,657337200.0,1314674400.0,35.209362,sensor,0,,,0,0.0,discrete
heavy,0,12,2,0,0.0,4.0,1787678700.0,7150715000.0,66.10381,sensor,0,,,1,0.67905056,continuous
heavy,0,13,2,0,0.0,3.0,2060926600.0,6182780000.0,38.077126,image,1,0.86155075,0.86155075,0,0.0,discrete
heavy,0,14,2,0,0.0,4.0,1420796500.0,5683186000.0,64.245476,image,0,,,1,0.44433203,continuous
heavy,0,15,2,0,0.0,2.0,2384332500.0,4768665000.0,68.086655,sensor,0,,,0,0.0,discrete
heavy,0,16,3,0,0.0,3.0,1147149700.0,3441449200.0,41.647316,image,1,0.60652333,0.60652333,1,0.6358287,continuous
heavy,0,17,3,0,0.0,4.0,1364651900.0,5458607600.0,54.60011,text,1,0.6007778,0.6007778,0,0.0,discrete
heavy,0,18,3,0,0.0,2.0,1076394000.0,2152788000.0,78.303024,text,0,,,1,0.6345258,continuous
heavy,0,19,3,0,0.0,3.0,2698329900.0,8094990000.0,84.40829,text,0,,,1,0.546139,continuous
heavy,0,20,3,0,0.0,4.0,819103360.0,3276413400.0,68.353546,sensor,0,,,1,0.40583566,continuous
heavy,0,21,3,0,0.0,4.0,1790644500.0,7162578000.0,139.22128,video,1,0.76847696,0.76847696,0,0.0,discrete
heavy,0,22,4,0,0.0,2.0,1031315300.0,2062630700.0,123.04037,sensor,1,0.70179725,0.70179725,0,0.0,discrete
heavy,0,23,4,0,0.0,3.0,681336300.0,2044008800.0,66.46383,text,1,0.58694994,0.58694994,1,0.8108865,continuous
heavy,0,24,5,0,0.0,2.0,1513588500.0,3027177000.0,92.012985,image,1,0.74009097,0.74009097,0,0.0,discrete
heavy,0,25,5,0,0.0,3.0,1138264300.0,3414793000.0,78.580826,image,0,,,0,0.0,discrete
heavy,0,26,6,0,0.0,3.0,2069103200.0,6207310000.0,45.326992,video,0,,,0,0.0,discrete
