scenario,episode_id,task_id,mec_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
light,0,0,0,0,0.0,4.0,552526140.0,2210104600.0,62.412148,video,1,1.3398931,1.3398931,1,0.42489997,continuous
light,0,1,0,0,0.0,4.0,939410100.0,3757640400.0,49.193645,text,0,,,0,0.0,discrete
light,0,2,1,0,0.0,3.0,791935040.0,2375805000.0,39.529118,video,0,,,0,0.0,discrete
light,0,3,3,0,0.0,3.0,1212347100.0,3637041700.0,68.742,video,0,,,0,0.0,discrete
light,0,4,3,0,0.0,4.0,1291461100.0,5165844500.0,66.44554,text,0,,,0,0.0,discrete
light,0,5,4,0,0.0,3.0,1147941600.0,3443825000.0,62.258533,text,0,,,0,0.0,discrete
light,0,6,4,0,0.0,3.0,888513600.0,2665540900.0,53.98954,video,1,1.2983135,1.2983135,1,0.39563164,continuous
light,0,7,6,0,0.0,3.0,1730609800.0,5191829500.0,58.563084,sensor,0,,,0,0.0,discrete
light,0,8,6,0,0.0,4.0,285148400.0,1140593700.0,37.972164,image,1,1.3014241,1.3014241,0,0.0,discrete
light,0,9,6,0,0.0,2.0,643560600.0,1287121200.0,92.29521,text,0,,,1,0.49036843,continuous
light,0,10,6,0,0.0,4.0,862260700.0,3449042700.0,59.432713,text,0,,,1,0.3324677,continuous
light,0,11,8,0,0.0,4.0,955325600.0,3821302300.0,74.76801,video,0,,,1,0.7365852,continuous
light,0,12,8,0,0.0,2.0,974916700.0,1949833300.0,78.659584,image,0,,,0,0.0,discrete
light,0,13,10,0,0.0,5.0,961620000.0,4808100000.0,66.50594,image,0,,,1,0.47767842,continuous
light,0,14,10,0,0.0,2.0,868003650.0,1736007300.0,52.027184,video,1,1.627178,1.627178,0,0.0,discrete
light,0,15,11,0,0.0,2.0,596599550.0,1193199100.0,51.829033,video,0,,,1,0.68208766,continuous
light,0,16,12,0,0.0,3.0,1028624900.0,3085874700.0,72.571365,text,1,1.6639528,1.6639528,0,0.0,discrete
light,0,17,16,0,0.0,4.0,1093842000.0,4375368000.0,83.976,image,1,1.3352482,1.3352482,0,0.0,discrete
