scenario,episode_id,t_slot,t_time,agent_id,task_id
moderate,0,1,1.0,3,0
moderate,0,1,1.0,12,1
moderate,0,1,1.0,16,2
moderate,0,2,2.0,3,3
moderate,0,2,2.0,12,4
moderate,0,2,2.0,14,5
moderate,0,3,3.0,3,6
moderate,0,3,3.0,3,7
moderate,0,3,3.0,16,8
moderate,0,3,3.0,17,9
moderate,0,4,4.0,1,10
moderate,0,4,4.0,6,11
moderate,0,4,4.0,12,12
moderate,0,5,5.0,2,13
moderate,0,5,5.0,3,14
moderate,0,5,5.0,3,15
moderate,0,5,5.0,4,16
moderate,0,5,5.0,9,17
moderate,0,5,5.0,12,18
moderate,0,5,5.0,12,19
moderate,0,6,6.0,6,20
moderate,0,6,6.0,9,21
moderate,0,6,6.0,12,22
moderate,0,6,6.0,13,23
moderate,0,6,6.0,13,24
moderate,0,7,7.0,2,25
moderate,0,7,7.0,3,26
moderate,0,7,7.0,12,27
moderate,0,7,7.0,12,28
moderate,0,7,7.0,13,29
moderate,0,7,7.0,15,30
moderate,0,7,7.0,17,31
moderate,0,8,8.0,1,32
moderate,0,8,8.0,12,33
moderate,0,8,8.0,15,34
moderate,0,9,9.0,0,35
moderate,0,9,9.0,0,36
moderate,0,9,9.0,7,37
moderate,0,9,9.0,8,38
moderate,0,10,10.0,6,39
moderate,0,10,10.0,14,40
moderate,0,10,10.0,17,41
moderate,0,11,11.0,1,42
moderate,0,11,11.0,1,43
moderate,0,11,11.0,7,44
moderate,0,11,11.0,12,45
moderate,0,11,11.0,16,46
moderate,0,12,12.0,17,47
moderate,0,13,13.0,5,48
moderate,0,14,14.0,10,49
moderate,0,14,14.0,12,50
moderate,0,14,14.0,14,51
moderate,0,15,15.0,4,52
moderate,0,15,15.0,7,53
moderate,0,16,16.0,3,54
moderate,0,16,16.0,3,55
moderate,0,16,16.0,6,56
moderate,0,17,17.0,0,57
moderate,0,17,17.0,14,58
moderate,0,18,18.0,0,59
moderate,0,18,18.0,5,60
moderate,0,18,18.0,7,61
moderate,0,18,18.0,13,62
moderate,0,19,19.0,3,63
moderate,0,20,20.0,4,64
