scenario,episode_id,task_id,mec_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
moderate,0,0,1,0,0.0,3.0,1982153900.0,5946461700.0,56.24041,text,0,,,0,0.0,discrete
moderate,0,1,1,0,0.0,2.0,1238342300.0,2476684500.0,72.7054,text,0,,,1,0.5557476,continuous
moderate,0,2,1,0,0.0,2.0,1411108200.0,2822216400.0,82.73962,image,0,,,0,0.0,discrete
moderate,0,3,2,0,0.0,4.0,1116267400.0,4465069600.0,38.947727,video,0,,,0,0.0,discrete
moderate,0,4,3,0,0.0,4.0,1005121900.0,4020487700.0,83.81812,text,1,1.3548212,1.3548212,0,0.0,discrete
moderate,0,5,4,0,0.0,2.0,2306932700.0,4613865500.0,118.41226,text,0,,,0,0.0,discrete
moderate,0,6,4,0,0.0,5.0,1015245760.0,5076228600.0,74.85481,video,1,0.75223255,0.75223255,0,0.0,discrete
moderate,0,7,4,0,0.0,2.0,881279900.0,1762559700.0,39.872208,image,0,,,0,0.0,discrete
moderate,0,8,6,0,0.0,3.0,1643440300.0,4930321000.0,47.334435,image,1,1.2109114,1.2109114,0,0.0,discrete
moderate,0,9,6,0,0.0,2.0,1854534000.0,3709068000.0,68.48594,sensor,0,,,0,0.0,discrete
moderate,0,10,6,0,0.0,4.0,3081986800.0,12327947000.0,74.928024,image,1,1.23305,1.23305,0,0.0,discrete
moderate,0,11,6,0,0.0,3.0,785904960.0,2357715000.0,87.31658,video,0,,,0,0.0,discrete
moderate,0,12,7,0,0.0,2.0,2260797400.0,4521595000.0,43.509007,image,0,,,0,0.0,discrete
moderate,0,13,8,0,0.0,3.0,1296562000.0,3889686300.0,57.72809,text,0,,,1,0.37198156,continuous
moderate,0,14,8,0,0.0,5.0,1164596100.0,5822980000.0,122.61589,sensor,0,,,1,0.5550828,continuous
moderate,0,15,8,0,0.0,4.0,1895149200.0,7580596700.0,82.33248,video,0,,,1,0.5665165,continuous
moderate,0,16,8,0,0.0,2.0,1712410400.0,3424820700.0,50.98395,text,0,,,1,0.598055,continuous
moderate,0,17,9,0,0.0,3.0,2000980100.0,6002940400.0,45.223064,text,1,0.597773,0.597773,1,0.5556585,continuous
moderate,0,18,9,0,0.0,3.0,1280510000.0,3841529900.0,46.666992,sensor,1,0.9172655,0.9172655,0,0.0,discrete
moderate,0,19,9,0,0.0,5.0,909067900.0,4545339400.0,83.907196,text,0,,,1,0.36910483,continuous
moderate,0,20,10,0,0.0,3.0,1623320600.0,4869961700.0,37.52954,sensor,0,,,1,0.3508662,continuous
moderate,0,21,10,0,0.0,4.0,1794344100.0,7177376300.0,53.52537,video,0,,,0,0.0,discrete
moderate,0,22,11,0,0.0,5.0,719768260.0,3598841300.0,67.6597,image,0,,,0,0.0,discrete
moderate,0,23,11,0,0.0,3.0,1506346900.0,4519040500.0,53.41833,image,0,,,0,0.0,discrete
moderate,0,24,12,0,0.0,5.0,1850041500.0,9250208000.0,100.15072,sensor,0,,,0,0.0,discrete
moderate,0,25,12,0,0.0,4.0,2038731900.0,8154927600.0,42.204033,image,0,,,0,0.0,discrete
moderate,0,26,12,0,0.0,2.0,843357800.0,1686715600.0,37.703346,video,0,,,0,0.0,discrete
moderate,0,27,12,0,0.0,5.0,1128144500.0,5640722400.0,54.393814,text,0,,,1,0.68742883,continuous
moderate,0,28,12,0,0.0,5.0,973876300.0,4869381600.0,87.5985,video,0,,,0,0.0,discrete
moderate,0,29,13,0,0.0,3.0,1585591700.0,4756775000.0,43.015106,image,0,,,1,0.6241805,continuous
moderate,0,30,14,0,0.0,4.0,882959800.0,3531839200.0,66.91965,text,0,,,0,0.0,discrete
moderate,0,31,15,0,0.0,5.0,635917630.0,3179588400.0,66.69989,text,0,,,0,0.0,discrete
moderate,0,32,15,0,0.0,2.0,1811990800.0,3623981600.0,31.681963,video,0,,,1,0.3905306,continuous
moderate,0,33,15,0,0.0,2.0,1282277100.0,2564554200.0,53.698517,text,0,,,0,0.0,discrete
moderate,0,34,15,0,0.0,3.0,2461462000.0,7384386600.0,151.9071,image,0,,,0,0.0,discrete
moderate,0,35,15,0,0.0,5.0,727749760.0,3638749000.0,59.757187,sensor,0,,,0,0.0,discrete
moderate,0,36,15,0,0.0,4.0,1077755100.0,4311020500.0,81.375374,sensor,0,,,0,0.0,discrete
moderate,0,37,16,0,0.0,3.0,950906940.0,2852721000.0,35.619812,image,1,0.84139514,0.84139514,0,0.0,discrete
moderate,0,38,17,0,0.0,4.0,827981600.0,3311926300.0,83.980194,text,1,1.0342994,1.0342994,0,0.0,discrete
moderate,0,39,17,0,0.0,2.0,1429954400.0,2859908900.0,84.24127,text,1,1.050872,1.050872,0,0.0,discrete
moderate,0,40,17,0,0.0,4.0,1846600100.0,7386400300.0,74.7429,sensor,0,,,1,0.30518752,continuous
moderate,0,41,17,0,0.0,4.0,1704596700.0,6818387000.0,72.27721,image,0,,,0,0.0,discrete
moderate,0,42,18,0,0.0,5.0,3081986800.0,15409934000.0,105.47784,image,0,,,1,0.6473289,continuous
moderate,0,43,18,0,0.0,4.0,1123979400.0,4495917600.0,109.70136,image,0,,,1,0.5327555,continuous
moderate,0,44,18,0,0.0,2.0,1310581000.0,2621162000.0,28.362932,text,0,,,1,0.42526865,continuous
moderate,0,45,18,0,0.0,2.0,1314342400.0,2628684800.0,67.05152,text,0,,,1,0.508113,continuous
moderate,0,46,18,0,0.0,2.0,1329555600.0,2659111200.0,58.317078,image,0,,,0,0.0,discrete
moderate,0,47,18,0,0.0,3.0,1949319600.0,5847958500.0,63.250267,image,1,1.0037897,1.0037897,0,0.0,discrete
moderate,0,48,18,0,0.0,5.0,742998900.0,3714994400.0,37.05188,sensor,1,0.7851452,0.7851452,0,0.0,discrete
moderate,0,49,19,0,0.0,4.0,2427809300.0,9711237000.0,44.377644,sensor,1,0.8767022,0.8767022,0,0.0,discrete
moderate,0,50,19,0,0.0,3.0,2042837900.0,6128513500.0,55.56418,text,0,,,1,0.6526803,continuous
moderate,0,51,19,0,0.0,3.0,1661326300.0,4983979000.0,93.82142,text,1,0.5210492,0.5210492,0,0.0,discrete
moderate,0,52,19,0,0.0,4.0,1160774100.0,4643096600.0,42.7239,video,0,,,0,0.0,discrete
moderate,0,53,19,0,0.0,2.0,904198500.0,1808397000.0,58.18701,image,0,,,0,0.0,discrete
moderate,0,54,19,0,0.0,3.0,2279824100.0,6839472600.0,50.646553,sensor,0,,,0,0.0,discrete
moderate,0,55,0,1,1.0,5.0,1112765300.0,5563826700.0,63.057453,image,0,,,0,0.0,discrete
moderate,0,56,0,1,1.0,5.0,1930328300.0,9651641000.0,44.6589,video,0,,,0,0.0,discrete
moderate,0,57,0,1,1.0,2.0,2675112200.0,5350224400.0,49.971386,video,0,,,0,0.0,discrete
moderate,0,58,0,1,1.0,3.0,1020397060.0,3061191200.0,34.215572,image,0,,,0,0.0,discrete
moderate,0,59,1,1,1.0,2.0,1229231700.0,2458463500.0,58.62151,sensor,0,,,0,0.0,discrete
moderate,0,60,1,1,1.0,4.0,788472800.0,3153891300.0,63.934113,video,0,,,0,0.0,discrete
moderate,0,61,1,1,1.0,4.0,712424260.0,2849697000.0,61.712234,video,0,,,1,0.5844489,continuous
moderate,0,62,2,1,1.0,5.0,1776151900.0,8880760000.0,53.117622,sensor,1,0.87977356,1.8797735,1,0.7243525,continuous
moderate,0,63,2,1,1.0,4.0,1609529500.0,6438118000.0,43.095253,sensor,0,,,0,0.0,discrete
moderate,0,64,2,1,1.0,3.0,1365703800.0,4097111300.0,71.05612,image,0,,,0,0.0,discrete
moderate,0,65,2,1,1.0,2.0,2645406000.0,5290812000.0,51.87451,sensor,0,,,0,0.0,discrete
moderate,0,66,2,1,1.0,3.0,776535700.0,2329607000.0,58.12018,video,0,,,0,0.0,discrete
moderate,0,67,2,1,1.0,5.0,1572829300.0,7864147000.0,40.902756,image,0,,,0,0.0,discrete
moderate,0,68,2,1,1.0,3.0,944839400.0,2834518300.0,53.295,text,1,0.77228653,1.7722865,1,0.5984486,continuous
moderate,0,69,2,1,1.0,4.0,3081986800.0,12327947000.0,124.15918,video,0,,,0,0.0,discrete
moderate,0,70,3,1,1.0,2.0,1374119700.0,2748239400.0,56.434628,video,0,,,1,0.70284903,continuous
moderate,0,71,3,1,1.0,5.0,1576556800.0,7882784000.0,52.96818,image,0,,,1,0.7423435,continuous
moderate,0,72,3,1,1.0,3.0,2399842600.0,7199527400.0,51.478317,sensor,0,,,1,0.5206401,continuous
moderate,0,73,4,1,1.0,2.0,1441952500.0,2883905000.0,54.90171,text,1,0.88049114,1.8804911,0,0.0,discrete
moderate,0,74,4,1,1.0,4.0,1296172800.0,5184691000.0,47.187042,text,0,,,0,0.0,discrete
moderate,0,75,4,1,1.0,4.0,2498707500.0,9994830000.0,80.235855,video,0,,,0,0.0,discrete
moderate,0,76,5,1,1.0,3.0,1535789800.0,4607369700.0,39.89278,video,0,,,1,0.61109424,continuous
moderate,0,77,6,1,1.0,5.0,841898430.0,4209492200.0,83.99255,video,0,,,0,0.0,discrete
moderate,0,78,6,1,1.0,2.0,2473804500.0,4947609000.0,24.769474,text,0,,,0,0.0,discrete
moderate,0,79,7,1,1.0,2.0,503853630.0,1007707260.0,62.323048,image,1,1.2265143,2.2265143,0,0.0,discrete
moderate,0,80,8,1,1.0,5.0,1353396500.0,6766982000.0,59.469368,video,0,,,1,0.37391558,continuous
moderate,0,81,8,1,1.0,4.0,468916220.0,1875664900.0,68.46555,text,0,,,0,0.0,discrete
moderate,0,82,8,1,1.0,2.0,1449541400.0,2899082800.0,62.150444,text,1,1.0458,2.0458,0,0.0,discrete
moderate,0,83,8,1,1.0,3.0,1402637800.0,4207913200.0,67.951,video,0,,,0,0.0,discrete
moderate,0,84,9,1,1.0,3.0,2059142400.0,6177427500.0,62.05802,image,0,,,0,0.0,discrete
moderate,0,85,9,1,1.0,4.0,733467260.0,2933869000.0,76.091736,text,0,,,0,0.0,discrete
moderate,0,86,9,1,1.0,3.0,961502800.0,2884508200.0,70.47802,video,0,,,0,0.0,discrete
moderate,0,87,9,1,1.0,3.0,847704960.0,2543114800.0,62.45819,image,0,,,0,0.0,discrete
moderate,0,88,10,1,1.0,4.0,1334707700.0,5338831000.0,42.500103,sensor,0,,,1,0.61259586,continuous
moderate,0,89,11,1,1.0,4.0,1261623200.0,5046492700.0,77.541954,image,0,,,0,0.0,discrete
moderate,0,90,11,1,1.0,2.0,1625658800.0,3251317500.0,86.14421,image,0,,,0,0.0,discrete
moderate,0,91,11,1,1.0,2.0,949837200.0,1899674400.0,41.35385,sensor,0,,,0,0.0,discrete
moderate,0,92,12,1,1.0,2.0,1023184900.0,2046369800.0,63.829655,video,1,1.3812671,2.381267,1,0.58469707,continuous
moderate,0,93,12,1,1.0,2.0,1305555000.0,2611110000.0,45.602978,image,0,,,0,0.0,discrete
moderate,0,94,13,1,1.0,4.0,1034733300.0,4138933200.0,72.89382,image,0,,,0,0.0,discrete
moderate,0,95,13,1,1.0,2.0,1615251700.0,3230503400.0,65.1317,text,0,,,1,0.33498755,continuous
moderate,0,96,14,1,1.0,2.0,1095358000.0,2190716000.0,85.48292,sensor,0,,,0,0.0,discrete
moderate,0,97,14,1,1.0,5.0,1340071600.0,6700357600.0,31.780489,text,0,,,0,0.0,discrete
moderate,0,98,14,1,1.0,4.0,1782725600.0,7130902500.0,67.01056,video,0,,,0,0.0,discrete
moderate,0,99,15,1,1.0,4.0,736441600.0,2945766400.0,33.673397,image,1,0.5492299,1.54923,1,0.46684963,continuous
moderate,0,100,15,1,1.0,5.0,1288080100.0,6440400400.0,63.845783,image,0,,,0,0.0,discrete
moderate,0,101,16,1,1.0,3.0,1394522800.0,4183568400.0,52.911285,text,0,,,1,0.70977694,continuous
moderate,0,102,16,1,1.0,3.0,1624759300.0,4874278000.0,50.365925,video,0,,,0,0.0,discrete
moderate,0,103,16,1,1.0,5.0,870107300.0,4350536700.0,42.21346,image,0,,,1,0.34845424,continuous
moderate,0,104,17,1,1.0,3.0,860801100.0,2582403300.0,151.9071,image,0,,,0,0.0,discrete
moderate,0,105,17,1,1.0,5.0,638411260.0,3192056300.0,70.54543,image,0,,,0,0.0,discrete
moderate,0,106,17,1,1.0,3.0,1030057540.0,3090172700.0,81.73678,sensor,1,0.9219592,1.9219592,1,0.7382016,continuous
moderate,0,107,17,1,1.0,2.0,1111206100.0,2222412300.0,42.968422,text,0,,,0,0.0,discrete
moderate,0,108,17,1,1.0,5.0,930690560.0,4653453000.0,93.93475,image,0,,,1,0.42676786,continuous
moderate,0,109,17,1,1.0,3.0,2550037000.0,7650111000.0,56.834583,video,0,,,1,0.5674575,continuous
moderate,0,110,18,1,1.0,3.0,1423684900.0,4271054800.0,57.689777,image,0,,,0,0.0,discrete
moderate,0,111,18,1,1.0,4.0,1136447500.0,4545790000.0,55.73297,text,0,,,0,0.0,discrete
moderate,0,112,18,1,1.0,2.0,743512060.0,1487024100.0,90.68185,text,0,,,0,0.0,discrete
moderate,0,113,19,1,1.0,3.0,1650840700.0,4952522000.0,108.14123,sensor,0,,,1,0.7634228,continuous
moderate,0,114,19,1,1.0,2.0,985877600.0,1971755300.0,45.08526,video,0,,,1,0.612495,continuous
moderate,0,115,0,2,2.0,5.0,587595100.0,2937975300.0,48.038757,image,1,1.150981,3.150981,1,0.57457024,continuous
