scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
heavy,0,0,0,0,0.0,7.2020965,972714700.0,7005585000.0,66.61101,sensor,1,0.80072594,0.80072594,0,0.0,discrete
heavy,0,1,1,0,0.0,5.4799843,1314973000.0,7206031400.0,77.9288,image,1,0.61511254,0.61511254,0,0.0,discrete
heavy,0,2,4,0,0.0,8.421977,2500221700.0,21056809000.0,72.966446,text,1,0.32300675,0.32300675,1,0.53970444,continuous
heavy,0,3,7,0,0.0,6.3249865,1779581800.0,11255831000.0,56.4929,sensor,1,0.48158702,0.48158702,0,0.0,discrete
heavy,0,4,10,0,0.0,11.473269,1087571800.0,12478005000.0,73.389854,sensor,1,0.59456414,0.59456414,0,0.0,discrete
heavy,0,5,13,0,0.0,4.2204247,700709570.0,2957292000.0,42.85349,text,1,0.31167382,0.31167382,1,0.5961382,continuous
heavy,0,6,17,0,0.0,5.2260256,1656089900.0,8654768000.0,64.974945,sensor,0,,,0,0.0,discrete
heavy,0,7,2,1,1.0,2.5106468,1449514100.0,3639218200.0,79.34273,image,0,,,1,0.7923466,continuous
heavy,0,8,5,1,1.0,6.057153,2328010800.0,14101118000.0,30.002148,video,1,0.56476355,1.5647635,0,0.0,discrete
heavy,0,9,6,1,1.0,2.0366707,2060926600.0,4197429000.0,38.077126,image,1,0.86155075,1.8615507,0,0.0,discrete
heavy,0,10,11,1,1.0,3.673194,2384332500.0,8758115000.0,68.086655,sensor,0,,,0,0.0,discrete
heavy,0,11,13,1,1.0,7.5656714,1693729900.0,12814204000.0,30.378454,text,0,,,1,0.5036883,continuous
heavy,0,12,13,1,1.0,5.6751122,1022231300.0,5801277400.0,46.842182,text,0,,,0,0.0,discrete
heavy,0,13,2,2,2.0,10.223945,2083541800.0,21302016000.0,54.177032,text,0,,,0,0.0,discrete
heavy,0,14,3,2,2.0,12.007941,2439618300.0,29294793000.0,36.566746,sensor,0,,,0,0.0,discrete
heavy,0,15,6,2,2.0,2.300701,1571838800.0,3616331000.0,83.23017,sensor,1,0.42890853,2.4289086,1,0.5445051,continuous
heavy,0,16,8,2,2.0,8.310906,4113836000.0,34189707000.0,30.83848,text,0,,,1,0.5844678,continuous
heavy,0,17,8,2,2.0,9.731069,2038558100.0,19837348000.0,47.674458,text,1,0.5638748,2.5638747,0,0.0,discrete
heavy,0,18,13,2,2.0,6.5406694,2460308700.0,16092066000.0,37.03136,sensor,0,,,0,0.0,discrete
heavy,0,19,4,3,3.0,2.1668437,1678796400.0,3637689300.0,21.587456,text,0,,,0,0.0,discrete
heavy,0,20,6,3,3.0,2.6628354,2378550800.0,6333690000.0,85.04675,image,0,,,0,0.0,discrete
heavy,0,21,15,3,3.0,4.4718843,1000103740.0,4472348000.0,56.206154,image,1,0.59945166,3.5994515,0,0.0,discrete
heavy,0,22,0,4,4.0,4.535368,831536500.0,3771324000.0,34.275257,video,0,,,0,0.0,discrete
heavy,0,23,2,4,4.0,2.6123264,2029787100.0,5302466600.0,68.58134,image,0,,,1,0.57413346,continuous
