scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
heavy,0,0,0,0,0,5.000003439,1499998518,7499997746,64.00000631,sensor,1,0.800725949,0.800725949,0,0,discrete
heavy,0,1,1,0,0,5.000000864,1499999549,7499999043,64.00003108,image,1,0.615112521,0.615112521,0,0,discrete
heavy,0,2,4,0,0,5.000004913,1500001749,7500016113,64.0000207,text,1,0.323006743,0.323006743,1,0.539704415,continuous
heavy,0,3,7,0,0,5.000002215,1500000585,7500006247,63.99998031,sensor,1,0.481587019,0.481587019,0,0,discrete
heavy,0,4,10,0,0,5.000007826,1499998900,7500006237,64.00002161,sensor,1,0.594564161,0.594564161,0,0,discrete
heavy,0,5,13,0,0,4.999998403,1499997395,7499984579,63.99993669,text,1,0.311673826,0.311673826,1,0.596138167,continuous
heavy,0,6,17,0,0,5.000000417,1500000339,7500002319,64.00000239,sensor,0,,,0,0,discrete
heavy,0,7,2,1,1,4.999993509,1499999883,7499989677,64.00003392,image,0,,,1,0.792346579,continuous
heavy,0,8,5,1,1,5.000001807,1500001504,7500010233,63.99988042,video,1,0.564763564,1.564763564,0,0,discrete
heavy,0,9,6,1,1,4.999991537,1500001087,7499992743,63.99991804,image,1,0.861550742,1.861550742,0,0,discrete
heavy,0,10,11,1,1,4.999997094,1500001586,7500003573,64.00000977,sensor,0,,,0,0,discrete
heavy,0,11,13,1,1,5.000003903,1500000416,7500007933,63.99988238,text,0,,,1,0.503688261,continuous
heavy,0,12,13,1,1,5.000001193,1499998687,7499995228,63.99995074,text,0,,,0,0,discrete
heavy,0,13,2,2,2,5.00000674,1500001125,7500015734,63.9999737,text,0,,,0,0,discrete
heavy,0,14,3,2,2,5.000008256,1500001665,7500020707,63.99991165,sensor,0,,,0,0,discrete
heavy,0,15,6,2,2,4.999992686,1500000160,7499989829,64.00004147,sensor,1,0.428908534,2.428908534,1,0.544505123,continuous
heavy,0,16,8,2,2,5.000004788,1500003453,7500024448,63.99988476,text,0,,,1,0.584467834,continuous
heavy,0,17,8,2,2,5.000006275,1500001050,7500014662,63.99995352,text,1,0.563874756,2.563874756,0,0,discrete
heavy,0,18,13,2,2,5.000002531,1500001694,7500012265,63.99991364,sensor,0,,,0,0,discrete
heavy,0,19,4,3,3,4.999992121,1500000385,7499990109,63.99982846,text,0,,,0,0,discrete
heavy,0,20,6,3,3,4.999994063,1500001578,7499998985,64.00004488,image,0,,,0,0,discrete
heavy,0,21,15,3,3,4.999998948,1499998613,7499991485,63.9999795,image,1,0.599451661,3.599451661,0,0,discrete
heavy,0,22,0,4,4,4.999999081,1499997981,7499988526,63.99990143,video,0,,,0,0,discrete
heavy,0,23,2,4,4,4.999993883,1500001035,7499996000,64.00001091,image,0,,,1,0.574133438,continuous
heavy,0,24,4,4,4,5.000004553,1500000175,7500007703,64.00006131,text,1,0.65373349,4.65373349,0,0,discrete
heavy,0,25,6,4,4,4.999993988,1500002330,7500002633,64.00001042,text,0,,,1,0.653375451,continuous
heavy,0,26,6,4,4,4.99999246,1500002164,7499999512,63.99999637,video,1,0.56722365,4.56722365,0,0,discrete
heavy,0,27,8,4,4,4.999989125,1500001039,7499988881,63.99990734,text,0,,,0,0,discrete
heavy,0,28,10,4,4,4.999989658,1499999192,7499980449,64.00009321,text,0,,,1,0.514731984,continuous
heavy,0,29,12,4,4,4.999998496,1499998625,7499990866,64.00001947,image,1,0.86453809,4.86453809,1,0.543776792,continuous
heavy,0,30,13,4,4,5.000002503,1499998942,7499998466,63.99998925,sensor,0,,,0,0,discrete
heavy,0,31,13,4,4,5.000004769,1500001643,7500015366,64.00004202,image,0,,,0,0,discrete
heavy,0,32,0,5,5,5.000005131,1500002053,7500017964,63.99999399,text,1,0.847258545,5.847258545,0,0,discrete
heavy,0,33,1,5,5,5.000002819,1499998915,7499998805,64.00008458,sensor,0,,,0,0,discrete
heavy,0,34,4,5,5,4.99999541,1499999233,7499989278,64.0000451,image,0,,,0,0,discrete
heavy,0,35,6,5,5,5.000000105,1500000699,7500003652,64.00001083,image,0,,,1,0.646235488,continuous
heavy,0,36,7,5,5,4.999999763,1500002603,7500012662,64.00003129,text,0,,,0,0,discrete
heavy,0,37,10,5,5,4.999997407,1500000017,7499996198,64.00001666,video,0,,,0,0,discrete
heavy,0,38,11,5,5,4.999998475,1499998761,7499991518,64.00010184,image,0,,,1,0.746289292,continuous
heavy,0,39,12,5,5,4.999995224,1500001679,7500001232,63.99994638,text,1,0.631361583,5.631361583,1,0.431991249,continuous
heavy,0,40,13,5,5,5.000000443,1499999003,7499995677,64.00003314,video,0,,,1,0.824189934,continuous
heavy,0,41,15,5,5,5.000000649,1500001836,7500010153,63.99997282,video,0,,,1,0.495496738,continuous
heavy,0,42,15,5,5,5.000006385,1500000026,7500009710,63.99992227,sensor,0,,,1,0.615003579,continuous
heavy,0,43,16,5,5,5.000001795,1500000221,7500003795,63.99992032,video,0,,,1,0.682216265,continuous
heavy,0,44,16,5,5,4.999999087,1499999482,7499996039,63.99987856,video,0,,,0,0,discrete
heavy,0,45,17,5,5,4.999992337,1500000322,7499990113,63.9999699,text,1,0.732033936,5.732033936,0,0,discrete
heavy,0,46,0,6,6,5.00000123,1499995826,7499980974,64.00006274,sensor,0,,,0,0,discrete
heavy,0,47,4,6,6,5.000002172,1499999761,7500002062,63.99996375,video,0,,,0,0,discrete
heavy,0,48,4,6,6,5.000003079,1500002682,7500018030,63.99995981,video,0,,,1,0.687942328,continuous
heavy,0,49,15,6,6,5.000002402,1499998345,7499995330,64.00014652,image,0,,,1,0.506520472,continuous
heavy,0,50,0,7,7,5.000000099,1500000133,7500000812,64.00003772,video,1,0.360736974,7.360736974,1,0.419331456,continuous
heavy,0,51,0,7,7,5.000009216,1500000226,7500014952,63.99995195,text,1,0.540823004,7.540823004,1,0.587227238,continuous
heavy,0,52,6,7,7,4.999998173,1500001179,7500003154,63.9999324,sensor,0,,,0,0,discrete
heavy,0,53,13,7,7,5.000010916,1499998984,7500011293,63.99992134,image,0,,,0,0,discrete
heavy,0,54,14,7,7,4.999999036,1500002349,7500010301,64.00003845,sensor,0,,,1,0.710568068,continuous
heavy,0,55,15,7,7,4.999996043,1499997850,7499983317,64.00006101,text,0,,,0,0,discrete
heavy,0,56,16,7,7,4.999993782,1500002599,7500003666,63.999938,sensor,0,,,1,0.402743867,continuous
heavy,0,57,0,8,8,4.999998157,1499998924,7499991856,63.99997101,sensor,0,,,0,0,discrete
heavy,0,58,3,8,8,5.000011425,1499998751,7500010895,64.00007844,image,0,,,1,0.504423709,continuous
heavy,0,59,4,8,8,4.999997677,1499997922,7499986126,64.00001135,image,0,,,0,0,discrete
heavy,0,60,6,8,8,5.000009667,1500000927,7500019137,64.00009069,text,0,,,1,0.592264354,continuous
heavy,0,61,8,8,8,4.999994893,1500001013,7499997407,64.00012413,video,0,,,1,0.497317591,continuous
heavy,0,62,8,8,8,4.999998709,1499999309,7499994606,63.99989292,image,1,0.882157464,8.882157464,0,0,discrete
heavy,0,63,13,8,8,4.999996478,1499999454,7499991987,64.0000613,video,1,0.570111989,8.570111989,0,0,discrete
heavy,0,64,16,8,8,4.999997905,1499999055,7499992134,64.00003062,image,0,,,0,0,discrete
heavy,0,65,2,9,9,5.000008582,1500000766,7500016705,63.99983226,image,0,,,0,0,discrete
heavy,0,66,5,9,9,4.999992135,1499999459,7499985498,63.99991183,image,0,,,0,0,discrete
heavy,0,67,7,9,9,4.999994254,1499997698,7499979873,64.00000038,image,0,,,1,0.670662623,continuous
heavy,0,68,8,9,9,5.000000289,1499998238,7499991622,64.00013639,text,0,,,1,0.81384441,continuous
heavy,0,69,8,9,9,4.999999798,1500000429,7500001839,64.00003394,text,0,,,1,0.419798235,continuous
heavy,0,70,9,9,9,4.999994249,1500001430,7499998525,64.00000653,image,1,0.452080092,9.452080092,1,0.536363629,continuous
heavy,0,71,10,9,9,5.00000404,1500000240,7500007262,64.00006158,text,0,,,0,0,discrete
heavy,0,72,15,9,9,4.999998522,1499999905,7499997305,63.99999813,image,0,,,0,0,discrete
heavy,0,73,15,9,9,5.000007155,1499999075,7500006108,64.0000693,image,1,0.555984405,9.555984405,1,0.731509349,continuous
heavy,0,74,15,9,9,4.999996159,1500001687,7500002675,64.00000875,text,0,,,0,0,discrete
heavy,0,75,15,9,9,4.999998893,1499999631,7499996497,64.00001371,image,1,0.384557945,9.384557945,0,0,discrete
heavy,0,76,2,10,10,5.000002384,1499997163,7499989392,64.00010725,image,0,,,0,0,discrete
heavy,0,77,5,10,10,4.999996609,1499999382,7499991822,63.99991516,sensor,0,,,1,0.594733202,continuous
heavy,0,78,6,10,10,4.999991636,1499999723,7499986067,64.00002535,sensor,1,0.582474435,10.58247443,0,0,discrete
heavy,0,79,8,10,10,5.000002376,1499999949,7500003310,63.99993044,image,1,0.543694256,10.54369426,1,0.503540552,continuous
heavy,0,80,8,10,10,4.999999264,1499999452,7499996154,63.9999591,text,1,0.997388598,10.9973886,1,0.491348181,continuous
heavy,0,81,10,10,10,4.999990324,1500001706,7499994018,63.99991939,image,0,,,0,0,discrete
heavy,0,82,0,11,11,5.000010028,1499999412,7500012104,63.99989604,video,0,,,0,0,discrete
heavy,0,83,5,11,11,4.999999223,1500000159,7499999632,64.00011593,video,1,0.304407245,11.30440725,1,0.526698589,continuous
heavy,0,84,11,11,11,4.999993861,1500000470,7499993141,64.00009837,video,1,0.676029682,11.67602968,0,0,discrete
heavy,0,85,15,11,11,5.000006859,1500000912,7500014848,64.00007623,text,1,0.774263295,11.77426329,1,0.8351278,continuous
heavy,0,86,17,11,11,4.999999971,1499999339,7499996651,64.00007103,text,0,,,1,0.534742506,continuous
heavy,0,87,0,12,12,5.000002248,1499996541,7499986074,63.99987814,video,0,,,0,0,discrete
heavy,0,88,0,12,12,4.999998401,1499999386,7499994529,64.0000515,video,1,0.625597801,12.6255978,1,0.64750974,continuous
heavy,0,89,0,12,12,5.000008381,1500000163,7500013387,63.99992935,video,0,,,0,0,discrete
heavy,0,90,2,12,12,4.999998902,1499999632,7499996512,63.99991397,image,0,,,0,0,discrete
heavy,0,91,3,12,12,5.000000843,1500002847,7500015502,64.00004904,text,0,,,0,0,discrete
heavy,0,92,3,12,12,5.00000228,1500002994,7500018390,64.00008433,image,0,,,1,0.786953639,continuous
heavy,0,93,13,12,12,5.000003915,1499999623,7500003987,64.00003491,text,0,,,0,0,discrete
heavy,0,94,15,12,12,4.999996196,1500000497,7499996781,64.00006259,text,1,0.61426982,12.61426982,1,0.612634029,continuous
heavy,0,95,16,12,12,4.99999719,1500001590,7500003735,64.00003182,text,0,,,1,0.479162206,continuous
heavy,0,96,3,13,13,5.000005787,1499997464,7499995999,64.00011211,image,0,,,0,0,discrete
heavy,0,97,6,13,13,5.0000014,1499999676,7500000480,64.00002915,text,0,,,1,0.447357593,continuous
heavy,0,98,8,13,13,5.0000024,1500000687,7500007035,64.00003131,sensor,1,0.819327959,13.81932796,0,0,discrete
heavy,0,99,10,13,13,4.999986639,1499998687,7499973392,64.00005085,image,1,0.929911481,13.92991148,0,0,discrete
heavy,0,100,10,13,13,5.000004102,1499998489,7499998598,63.99988916,image,0,,,1,0.421206925,continuous
heavy,0,101,10,13,13,4.999999596,1499998210,7499990444,64.00002998,video,0,,,0,0,discrete
heavy,0,102,12,13,13,5.000008033,1500000716,7500015629,63.99999196,text,0,,,1,0.842169254,continuous
heavy,0,103,14,13,13,5.00001127,1499998916,7500011486,63.99998939,image,1,0.965132201,13.9651322,0,0,discrete
heavy,0,104,15,13,13,4.99999506,1500000942,7499997300,64.00008324,sensor,0,,,1,0.406348451,continuous
heavy,0,105,15,13,13,4.99999772,1499999077,7499991967,64.00014912,video,1,0.842785165,13.84278516,1,0.416670665,continuous
heavy,0,106,16,13,13,4.999996729,1499998394,7499987063,64.00004906,sensor,1,0.689855538,13.68985554,1,0.820952154,continuous
heavy,0,107,0,14,14,4.999985693,1499999006,7499973569,64.0000263,image,0,,,0,0,discrete
heavy,0,108,0,14,14,4.999997509,1500000763,7500000081,63.99988823,text,0,,,1,0.592832231,continuous
heavy,0,109,0,14,14,4.999995327,1500001753,7500001756,64.00002219,video,0,,,0,0,discrete
heavy,0,110,6,14,14,5.000003406,1500001317,7500011692,64.00013186,text,1,0.928194235,14.92819424,1,0.437994338,continuous
heavy,0,111,13,14,14,4.999997319,1500000864,7500000298,64.00000813,image,0,,,0,0,discrete
heavy,0,112,14,14,14,4.999998289,1499999677,7499995820,63.99997642,video,0,,,1,0.501598519,continuous
heavy,0,113,17,14,14,4.999995625,1499999750,7499992189,63.99997828,image,1,0.452109445,14.45210944,0,0,discrete
heavy,0,114,6,15,15,4.999996578,1500002389,7500006814,63.99995385,text,1,0.566026934,15.56602693,0,0,discrete
heavy,0,115,6,15,15,4.999999765,1500001309,7500006193,63.99998654,image,1,0.720304785,15.72030479,0,0,discrete
heavy,0,116,6,15,15,4.999992717,1500001587,7499997012,64.00000824,sensor,1,0.571383232,15.57138323,0,0,discrete
heavy,0,117,7,15,15,4.999998981,1500001610,7500006519,64.00003756,image,0,,,0,0,discrete
heavy,0,118,8,15,15,5.00000207,1500000147,7500003842,64.00007902,text,1,0.975731886,15.97573189,0,0,discrete
heavy,0,119,8,15,15,4.999993373,1499997820,7499979160,63.99999903,video,0,,,1,0.598373203,continuous
heavy,0,120,9,15,15,5.000006759,1499998226,7500001268,63.99993792,text,1,0.726924826,15.72692483,1,0.424998309,continuous
heavy,0,121,10,15,15,4.999999527,1500001594,7500007259,64.00015799,text,1,0.451139289,15.45113929,0,0,discrete
heavy,0,122,11,15,15,5.000010299,1499998024,7500005569,63.9999866,text,1,0.673695199,15.6736952,0,0,discrete
heavy,0,123,14,15,15,4.999993672,1499999604,7499988528,63.99991463,text,1,0.514408048,15.51440805,1,0.458835829,continuous
heavy,0,124,17,15,15,5.000003493,1499997832,7499994401,63.99997299,image,1,0.587761357,15.58776136,0,0,discrete
heavy,0,125,1,16,16,5.000007749,1499998716,7500005202,64.00004609,sensor,0,,,0,0,discrete
heavy,0,126,4,16,16,5.000006994,1499998245,7500001715,64.00001941,image,0,,,0,0,discrete
heavy,0,127,6,16,16,5.00000348,1500000307,7500006757,63.99999058,text,0,,,1,0.607789058,continuous
heavy,0,128,8,16,16,5.000007974,1499999992,7500011922,64.00001406,text,0,,,1,0.657657907,continuous
heavy,0,129,8,16,16,4.999996989,1499999720,7499994084,63.99992946,video,0,,,0,0,discrete
heavy,0,130,13,16,16,4.999999824,1499999677,7499998119,64.00000273,video,1,0.410758182,16.41075818,0,0,discrete
heavy,0,131,14,16,16,5.000002803,1499998767,7499998038,63.99998659,text,1,0.963829423,16.96382942,1,0.443504082,continuous
heavy,0,132,16,16,16,4.999989444,1499998967,7499979002,63.99996179,video,0,,,0,0,discrete
heavy,0,133,17,16,16,4.999995111,1500000520,7499995269,64.00000601,video,1,0.99034696,16.99034696,0,0,discrete
heavy,0,134,0,17,17,4.999997801,1499999361,7499993506,63.99992953,sensor,0,,,0,0,discrete
heavy,0,135,0,17,17,5.000001302,1499999975,7500001827,63.99993446,sensor,0,,,1,0.743132597,continuous
heavy,0,136,3,17,17,5.000009303,1499998707,7500007490,64.00003145,image,0,,,0,0,discrete
