scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
light,0,0,1,0,0.0,2.0000009908035445,999998403.3585093,1999997797.5189812,63.99999522135157,video,1,1.339893160874464,1.339893160874464,1,0.424899967904058,continuous
light,0,1,17,0,0.0,2.0000010364754637,1000000212.4310546,2000001461.337793,64.0000291662245,text,0,,,0,0.0,discrete
light,0,2,17,7,7.0,1.9999987154052068,1000001517.9760954,2000001751.3554478,63.99985698154636,text,0,,,1,0.35816151121564865,continuous
light,0,3,3,9,9.0,2.000000253649915,999997899.862601,1999996053.3745842,63.999963820482236,image,0,,,0,0.0,discrete
light,0,4,15,13,13.0,1.9999992789799748,999998871.4117587,1999997021.8043058,64.00007601254605,image,0,,,0,0.0,discrete
light,0,5,15,14,14.0,1.9999986434860295,1000000433.4153986,1999999510.3162389,63.99991015281501,sensor,0,,,0,0.0,discrete
light,0,6,15,16,16.0,2.000001589895787,999998957.8244832,1999999505.5430963,63.99997306924759,image,0,,,1,0.7356288884685724,continuous
light,0,7,3,17,17.0,2.000000171674896,999999613.2555746,1999999398.185979,63.999987820938486,video,0,,,0,0.0,discrete
light,0,8,7,17,17.0,2.0000008329294756,999999163.9575938,1999999160.843967,63.999959173227104,image,0,,,1,0.7080363667423268,continuous
light,0,9,15,17,17.0,2.0000033503442105,999999168.7379969,2000001687.8174193,63.999957138115754,image,1,1.6246095515803132,18.624609551580313,1,0.5516204505983173,continuous
light,0,10,17,18,18.0,1.9999988722002267,999999274.8049842,1999997421.811013,64.00002864267829,image,0,,,0,0.0,discrete
light,0,11,14,20,20.0,2.000000527000195,1000001512.3867979,2000003551.7745879,63.9999831108385,text,1,1.2782790688396024,21.278279068839602,0,0.0,discrete
light,0,12,15,23,23.0,2.0000045897789147,1000001027.0625888,2000006643.9088063,64.00003579064087,video,0,,,1,0.7484849785317411,continuous
light,0,13,10,24,24.0,1.9999994809153125,999999706.4643683,1999998893.8442016,64.0001087804269,sensor,0,,,0,0.0,discrete
light,0,14,14,24,24.0,1.9999992879399697,999998942.6550511,1999997173.250825,63.99995092173558,video,1,1.201165188502539,25.20116518850254,0,0.0,discrete
light,0,15,12,25,25.0,1.9999990284156612,999999641.90189,1999998312.2197893,63.99989843652931,text,0,,,0,0.0,discrete
light,0,16,7,26,26.0,2.000000354951667,1000001274.7613969,2000002904.4749134,64.00010090374138,text,0,,,0,0.0,discrete
light,0,17,10,26,26.0,1.9999944794777904,1000000323.338325,1999995126.1526554,64.00001062807803,text,0,,,0,0.0,discrete
light,0,18,16,26,26.0,2.0000009817217683,1000000216.9126227,2000001415.5472267,64.0000045096073,text,0,,,1,0.46039399310391926,continuous
light,0,19,6,29,29.0,2.000000990387941,999998830.8685138,1999998652.1238108,63.99994866469852,text,0,,,0,0.0,discrete
light,0,20,13,30,30.0,2.0000028736218427,999999698.0542628,2000002269.7295005,63.999981402634155,text,0,,,0,0.0,discrete
light,0,21,2,32,32.0,2.0000013622790487,999999305.2759305,1999999972.8299632,63.99989791138387,text,0,,,0,0.0,discrete
light,0,22,2,33,33.0,2.0000002145468008,1000000918.8101324,2000002052.1672626,64.00005234314905,text,1,1.8108703212932444,34.810870321293244,0,0.0,discrete
light,0,23,1,34,34.0,2.0000000767195254,1000000269.483298,2000000615.686142,63.999924346598576,image,1,1.889882774122769,35.88988277412277,0,0.0,discrete
light,0,24,6,34,34.0,2.0000021018510616,1000001000.9184834,2000004103.6901321,64.00001039614054,text,0,,,0,0.0,discrete
light,0,25,7,35,35.0,1.9999983198557352,1000000311.8904228,1999998943.636057,63.999927828869914,video,0,,,0,0.0,discrete
light,0,26,2,36,36.0,2.000001671810618,999999753.4898894,2000001178.7899847,64.00002398248317,sensor,0,,,1,0.6646480221996021,continuous
light,0,27,4,36,36.0,1.999998444037517,999999553.3303294,1999997550.6988707,64.00009584268236,text,0,,,0,0.0,discrete
light,0,28,16,36,36.0,2.000003336916006,1000000554.1158537,2000004445.1495626,64.0000693275609,sensor,0,,,0,0.0,discrete
light,0,29,8,38,38.0,2.0000042198982277,999997379.7987708,1999998979.4847124,63.99996080155442,image,0,,,1,0.4089504418702245,continuous
light,0,30,8,41,41.0,1.9999967432485122,999999847.2431034,1999996437.7352164,64.00011834064749,text,0,,,0,0.0,discrete
light,0,31,5,44,44.0,2.0000010008404523,999998087.4790835,1999997175.7967052,64.00011549240536,text,0,,,0,0.0,discrete
light,0,32,4,47,47.0,2.0000005392047036,999999675.0220201,1999999889.2485685,64.0000126248033,sensor,0,,,1,0.5933987157295201,continuous
light,0,33,14,49,49.0,1.9999978135113727,1000000961.2655519,1999999736.0403748,64.00010778249687,video,0,,,0,0.0,discrete
light,0,34,6,50,50.0,2.0000045355730354,999999956.4565309,2000004448.4858997,64.00000312707942,image,1,1.0485352016917453,51.04853520169175,1,0.4137893259088024,continuous
light,0,35,13,50,50.0,2.0000025406281763,999999329.1460539,2000001198.9185798,64.00002411751765,text,0,,,0,0.0,discrete
light,0,36,13,51,51.0,2.0000005813923534,999999442.288422,1999999465.968873,64.00009628926675,text,0,,,0,0.0,discrete
light,0,37,8,54,54.0,1.9999997514650087,999998827.6841635,1999997406.833627,63.999878068632135,image,0,,,1,0.6900074645189651,continuous
light,0,38,16,56,56.0,2.0000011596817546,999998733.875637,1999998627.4315605,63.99992840797529,video,0,,,0,0.0,discrete
light,0,39,11,58,58.0,2.0000014691990144,999999577.1132255,2000000623.424844,64.0001052902469,text,1,1.2050071807873648,59.20500718078736,1,0.35249745980368186,continuous
light,0,40,2,59,59.0,1.9999984145617231,999997732.4090191,1999993879.3833566,63.99998738401442,sensor,0,,,0,0.0,discrete
