agent_id,f_local,m_local,lam_sec
0,2075234190.5487783,4177.077472082653,0.08358803783119872
1,1845675481.808815,4444.75086424342,0.11745430404531963
2,1422350879.5593193,3116.7906744076217,0.19024948660630675
3,862766211.3714311,3819.530831046496,0.1800223078614594
4,1576391276.64743,4456.416730996061,0.12487389258240905
5,1361573756.012886,6518.273844682864,0.09324106087870587
6,1146421390.688363,4031.095266760364,0.19755231136039103
7,1093930078.4102063,5125.594406895895,0.1601798480212747
8,821392453.5014893,5099.239982660461,0.08934737296966
9,1378499877.5779154,3320.8988025500503,0.11507791203842677
10,1967237614.9271045,3878.5581320642345,0.0669431549594336
11,1937472601.2864902,5303.971139728006,0.05149196289839378
12,1973372793.8333359,4718.837422485313,0.1876534625340322
13,2334762077.015009,4156.023983927405,0.171413424220342
14,1989450886.7755337,5301.096958236383,0.16934759893797335
15,2245626967.6800814,3973.902321228985,0.11452574192850282
16,969963266.0511726,5954.812618077239,0.10930582129994518
17,1298185565.2898846,6890.1233201528485,0.1065910545968349
