scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
moderate,0,0,3,1,1.0,4.4633007,1368071400.0,6106114600.0,59.8954,video,0,,,0,0.0,discrete
moderate,0,1,12,1,1.0,2.0321448,1310597000.0,2663323000.0,39.163837,text,0,,,1,0.6199349,continuous
moderate,0,2,13,1,1.0,2.4714608,1423734400.0,3518703600.0,71.26587,image,0,,,0,0.0,discrete
moderate,0,3,13,1,1.0,2.0975587,716012860.0,1501879000.0,73.56042,text,0,,,1,0.66702324,continuous
moderate,0,4,5,3,3.0,2.6836421,988777860.0,2653525800.0,114.35641,video,1,0.8688396,3.8688395,0,0.0,discrete
moderate,0,5,7,3,3.0,1.4814539,1296562000.0,1920797000.0,57.72809,text,0,,,1,0.37198156,continuous
moderate,0,6,7,3,3.0,1.7790067,1164596100.0,2071824100.0,122.61589,sensor,0,,,1,0.5550828,continuous
moderate,0,7,0,4,4.0,2.1320639,1721937500.0,3671280600.0,40.00315,video,0,,,0,0.0,discrete
moderate,0,8,1,4,4.0,1.1271932,495189630.0,558174400.0,40.27424,text,0,,,0,0.0,discrete
moderate,0,9,2,4,4.0,2.321645,998499800.0,2318162000.0,69.21222,video,0,,,0,0.0,discrete
moderate,0,10,7,4,4.0,3.4106236,1623320600.0,5536535600.0,37.52954,sensor,0,,,1,0.3508662,continuous
moderate,0,11,9,5,5.0,3.0351543,372420670.0,1130354200.0,111.24606,image,0,,,0,0.0,discrete
moderate,0,12,13,5,5.0,1.7716916,1550670200.0,2747309300.0,112.26311,video,0,,,0,0.0,discrete
moderate,0,13,17,5,5.0,2.4421837,1891914200.0,4620402000.0,44.905857,image,0,,,0,0.0,discrete
moderate,0,14,4,6,6.0,2.0521579,1585591700.0,3253884200.0,43.015106,image,0,,,1,0.6241805,continuous
moderate,0,15,6,6,6.0,2.1021943,1259860900.0,2648472300.0,25.520638,text,0,,,0,0.0,discrete
moderate,0,16,7,6,6.0,6.398032,1469499500.0,9401905000.0,78.321976,image,0,,,1,0.57319367,continuous
moderate,0,17,17,6,6.0,4.9387126,1333099800.0,6583797000.0,93.65579,sensor,0,,,0,0.0,discrete
moderate,0,18,2,7,7.0,4.0062156,609744640.0,2442768400.0,101.66993,video,0,,,1,0.7493752,continuous
moderate,0,19,2,7,7.0,0.8929326,554134000.0,494804350.0,53.944824,image,0,,,1,0.37747386,continuous
moderate,0,20,5,7,7.0,3.4705105,1185101300.0,4112906500.0,47.513058,image,1,1.1627831,8.162784,0,0.0,discrete
moderate,0,21,14,8,8.0,1.2945039,511169400.0,661710800.0,66.375565,image,0,,,1,0.5243355,continuous
moderate,0,22,0,9,9.0,3.0376225,1490486700.0,4527535600.0,129.1965,image,1,0.6113267,9.611326,0,0.0,discrete
moderate,0,23,7,9,9.0,4.512153,1644736300.0,7421302300.0,70.30438,sensor,1,0.9307881,9.930788,0,0.0,discrete
moderate,0,24,8,9,9.0,1.9178125,1529502300.0,2933298700.0,62.174404,sensor,0,,,0,0.0,discrete
moderate,0,25,9,9,9.0,1.5026716,983405760.0,1477736000.0,103.26768,image,0,,,0,0.0,discrete
moderate,0,26,13,9,9.0,2.535456,2427809300.0,6155603500.0,44.377644,sensor,1,0.8767022,9.876702,0,0.0,discrete
moderate,0,27,3,10,10.0,2.130529,2040655000.0,4347674600.0,66.0728,sensor,1,1.2546567,11.254657,0,0.0,discrete
moderate,0,28,12,10,10.0,2.2313404,2175675100.0,4854672000.0,99.312935,sensor,0,,,0,0.0,discrete
moderate,0,29,13,11,11.0,2.486003,605915100.0,1506306600.0,59.86168,video,0,,,0,0.0,discrete
moderate,0,30,2,12,12.0,4.067257,788472800.0,3206921700.0,63.934113,video,0,,,0,0.0,discrete
moderate,0,31,16,12,12.0,4.0507054,1776151900.0,7194668000.0,53.117622,sensor,1,0.87977356,12.879773,1,0.7243525,continuous
moderate,0,32,17,12,12.0,2.273674,1064235650.0,2419725000.0,48.838066,image,0,,,0,0.0,discrete
moderate,0,33,2,13,13.0,2.2999923,1913891200.0,4401935000.0,51.74959,text,0,,,1,0.79769427,continuous
moderate,0,34,3,13,13.0,1.7805442,1268232800.0,2258144500.0,54.804424,image,0,,,1,0.49225432,continuous
moderate,0,35,14,13,13.0,4.6240373,2389694000.0,11050034000.0,48.621094,text,0,,,0,0.0,discrete
moderate,0,36,4,14,14.0,5.153898,868404350.0,4475667500.0,56.87692,sensor,1,0.8713037,14.871304,0,0.0,discrete
moderate,0,37,5,14,14.0,3.4897223,786940300.0,2746203000.0,72.209984,video,0,,,1,0.69093764,continuous
moderate,0,38,6,15,15.0,1.6498644,1069778500.0,1764989600.0,80.23557,image,0,,,1,0.41712943,continuous
moderate,0,39,12,15,15.0,6.939283,425895500.0,2955409200.0,49.212475,sensor,0,,,1,0.66513485,continuous
moderate,0,40,17,16,16.0,3.7344835,1162207100.0,4340243000.0,50.255993,image,0,,,0,0.0,discrete
moderate,0,41,7,17,17.0,2.4585931,881380000.0,2166954800.0,104.973045,text,1,1.3163579,18.316359,0,0.0,discrete
moderate,0,42,8,17,17.0,4.741632,651563400.0,3089473800.0,116.83214,video,0,,,0,0.0,discrete
moderate,0,43,11,17,17.0,2.9088738,853752600.0,2483458600.0,52.915195,text,0,,,1,0.6231989,continuous
moderate,0,44,14,17,17.0,2.8902738,1201446100.0,3472508400.0,64.62519,sensor,0,,,1,0.4901306,continuous
moderate,0,45,9,18,18.0,1.5265619,1931068800.0,2947896000.0,65.7656,image,1,0.9146655,18.914665,0,0.0,discrete
moderate,0,46,12,18,18.0,1.8377653,1305555000.0,2399303700.0,45.602978,image,0,,,0,0.0,discrete
moderate,0,47,13,18,18.0,2.226185,878247600.0,1955141800.0,55.873745,sensor,0,,,1,0.49756977,continuous
moderate,0,48,6,19,19.0,4.3263607,1655140900.0,7160736300.0,99.544754,text,1,1.2336916,20.233692,0,0.0,discrete
moderate,0,49,12,20,20.0,1.9249173,1288029700.0,2479350800.0,60.59593,text,0,,,0,0.0,discrete
moderate,0,50,16,20,20.0,2.2157128,1950938200.0,4322718700.0,61.151825,text,0,,,0,0.0,discrete
moderate,0,51,0,21,21.0,2.1899168,1826676700.0,4000270000.0,112.592476,text,0,,,0,0.0,discrete
moderate,0,52,3,21,21.0,8.953139,986831000.0,8835235000.0,55.068504,text,0,,,0,0.0,discrete
moderate,0,53,14,21,21.0,1.8123784,2529134600.0,4583749000.0,38.495472,video,0,,,0,0.0,discrete
moderate,0,54,14,22,22.0,2.5802522,1965117000.0,5070498000.0,60.88692,image,0,,,1,0.47500345,continuous
moderate,0,55,16,22,22.0,2.9845808,1845118300.0,5506904600.0,105.34951,text,0,,,1,0.44927105,continuous
moderate,0,56,3,23,23.0,2.3887815,818755200.0,1955827200.0,32.308712,video,0,,,0,0.0,discrete
moderate,0,57,0,24,24.0,3.3377686,1940741900.0,6477747700.0,43.615223,text,0,,,0,0.0,discrete
moderate,0,58,9,24,24.0,2.016765,1316974800.0,2656029000.0,43.58754,video,0,,,0,0.0,discrete
moderate,0,59,14,27,27.0,3.0332167,1453660900.0,4409268700.0,61.33853,text,0,,,0,0.0,discrete
moderate,0,60,1,29,29.0,3.9960144,1398044500.0,5586606000.0,75.69412,sensor,0,,,0,0.0,discrete
moderate,0,61,3,29,29.0,3.659614,1085840900.0,3973758500.0,98.414406,text,1,0.76773655,29.767736,0,0.0,discrete
moderate,0,62,4,29,29.0,2.2862208,1787009300.0,4085497600.0,56.345535,image,0,,,1,0.39175555,continuous
moderate,0,63,5,29,29.0,1.56676,1830525800.0,2867994600.0,99.04601,video,0,,,0,0.0,discrete
moderate,0,64,9,29,29.0,3.77525,1373656300.0,5185896000.0,92.71787,image,0,,,1,0.7757901,continuous
moderate,0,65,10,29,29.0,2.6258533,1031102300.0,2707523300.0,45.935444,video,0,,,0,0.0,discrete
