scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
moderate,0,0,3,1,1.0,3.000002535786325,1200000387.941027,3600004206.7676544,63.99998858301851,video,0,,,0,0.0,discrete
moderate,0,1,12,1,1.0,2.999997513720258,1200000260.9185808,3599997799.2194033,63.99991540549696,text,0,,,1,0.6199349266934572,continuous
moderate,0,2,13,1,1.0,2.9999987629705744,1200000505.9719722,3600000033.47998,64.0000185222775,image,0,,,0,0.0,discrete
moderate,0,3,13,1,1.0,2.9999977159468174,1199998471.7457414,3599992674.3768954,64.00002398063718,text,0,,,1,0.6670232486820451,continuous
moderate,0,4,5,3,3.0,2.999999288703064,1199999427.0075858,3599997427.4668417,64.00009997743145,video,1,0.8688396032788382,3.8688396032788384,0,0.0,discrete
moderate,0,5,7,3,3.0,2.9999954962852837,1200000229.0543818,3599995282.7044544,63.999982234783374,text,0,,,1,0.37198154706990216,continuous
moderate,0,6,7,3,3.0,2.9999966645583145,1199999911.3691487,3599995731.577719,64.00011198925075,sensor,0,,,1,0.5550828106921815,continuous
moderate,0,7,0,4,4.0,2.999997820091976,1200001068.7831357,3600000590.4574485,63.9999190578381,video,0,,,0,0.0,discrete
moderate,0,8,1,4,4.0,2.9999937518774633,1199997380.3871963,3599984643.4309125,63.999920221142325,text,0,,,0,0.0,discrete
moderate,0,9,2,4,4.0,2.99999836382473,1199999455.9647183,3599996404.484721,64.00001348581154,video,0,,,0,0.0,discrete
moderate,0,10,7,4,4.0,3.0000008188202405,1200000894.2388847,3600003665.301675,63.999908063479,sensor,0,,,1,0.350866188519243,continuous
moderate,0,11,9,5,5.0,3.0000000743609765,1199996537.1604226,3599989700.714182,64.0000952276954,image,0,,,0,0.0,discrete
moderate,0,12,13,5,5.0,2.9999966382583607,1200000758.7304316,3599998242.098777,64.0000967952629,video,0,,,0,0.0,discrete
moderate,0,13,17,5,5.0,2.9999986869066007,1200001347.393669,3600002466.4671583,63.999938971063756,image,0,,,0,0.0,discrete
moderate,0,14,4,6,6.0,2.999997576273167,1200000824.6411781,3599999565.449336,63.99993156162852,image,0,,,1,0.6241805150473329,continuous
moderate,0,15,6,6,6.0,2.9999977300373,1200000144.070658,3599997708.256407,63.99984163888117,text,0,,,0,0.0,discrete
moderate,0,16,7,6,6.0,3.000004834293054,1200000599.6084526,3600007599.979921,64.00003478405449,image,0,,,1,0.5731936855291144,continuous
moderate,0,17,17,6,6.0,3.0000031818420076,1200000311.3027546,3600004752.1196637,64.00006558114374,sensor,0,,,0,0.0,discrete
moderate,0,18,2,7,7.0,3.0000018461644107,1199997996.269499,3599996204.2020907,64.00007972339507,video,0,,,1,0.7493752511946292,continuous
moderate,0,19,2,7,7.0,2.9999922648196375,1199997713.2362487,3599983857.5099998,63.999970559663254,image,0,,,1,0.3774738672642482,continuous
moderate,0,20,5,7,7.0,3.000000929925049,1199999963.0253015,3600001004.9859285,63.99994869193258,image,1,1.1627831753525546,8.162783175352555,0,0.0,discrete
moderate,0,21,14,8,8.0,2.9999946352527975,1199997474.3834982,3599985985.467401,64.00000627763347,image,0,,,1,0.5243355172628288,continuous
moderate,0,22,0,9,9.0,3.000000079549181,1200000641.577454,3600002020.1914306,64.00012099387304,image,1,0.611326676117738,9.611326676117738,0,0.0,discrete
moderate,0,23,7,9,9.0,3.0000026052703963,1200000933.0276198,3600005925.4097657,64.00001618260555,sensor,1,0.9307881026534943,9.930788102653494,0,0.0,discrete
moderate,0,24,8,9,9.0,2.999997144107083,1200000718.0518932,3599998727.082129,63.999995015285435,sensor,0,,,0,0.0,discrete
moderate,0,25,9,9,9.0,2.9999955870540878,1199999410.8844054,3599992937.1207213,64.00008240918328,image,0,,,0,0.0,discrete
moderate,0,26,13,9,9.0,2.9999989261440483,1200002085.5103073,3600004967.9015403,63.99993693298593,sensor,1,0.8767022069607574,9.876702206960758,0,0.0,discrete
