scenario,episode_id,t_slot,t_time,agent_id,task_id
heavy,0,0,0.0,0,0
heavy,0,0,0.0,3,1
heavy,0,0,0.0,7,2
heavy,0,0,0.0,8,3
heavy,0,0,0.0,11,4
heavy,0,0,0.0,15,5
heavy,0,0,0.0,16,6
heavy,0,0,0.0,17,7
heavy,0,1,1.0,0,8
heavy,0,1,1.0,0,9
heavy,0,1,1.0,1,10
heavy,0,1,1.0,1,11
heavy,0,1,1.0,11,12
heavy,0,1,1.0,13,13
heavy,0,1,1.0,13,14
heavy,0,1,1.0,16,15
heavy,0,2,2.0,0,16
heavy,0,2,2.0,1,17
heavy,0,2,2.0,1,18
heavy,0,2,2.0,3,19
heavy,0,2,2.0,8,20
heavy,0,2,2.0,11,21
heavy,0,3,3.0,5,22
heavy,0,3,3.0,10,23
heavy,0,3,3.0,10,24
heavy,0,3,3.0,13,25
heavy,0,3,3.0,15,26
heavy,0,3,3.0,15,27
heavy,0,3,3.0,16,28
heavy,0,3,3.0,16,29
heavy,0,4,4.0,0,30
heavy,0,4,4.0,4,31
heavy,0,4,4.0,5,32
heavy,0,4,4.0,6,33
heavy,0,4,4.0,7,34
heavy,0,4,4.0,9,35
heavy,0,4,4.0,10,36
heavy,0,4,4.0,10,37
heavy,0,4,4.0,16,38
heavy,0,4,4.0,17,39
heavy,0,5,5.0,1,40
heavy,0,5,5.0,1,41
heavy,0,5,5.0,1,42
heavy,0,5,5.0,1,43
heavy,0,5,5.0,4,44
heavy,0,5,5.0,7,45
heavy,0,5,5.0,8,46
heavy,0,5,5.0,9,47
heavy,0,5,5.0,11,48
heavy,0,6,6.0,0,49
heavy,0,6,6.0,3,50
heavy,0,6,6.0,4,51
heavy,0,6,6.0,7,52
heavy,0,6,6.0,7,53
heavy,0,6,6.0,8,54
heavy,0,6,6.0,10,55
heavy,0,6,6.0,16,56
heavy,0,6,6.0,16,57
heavy,0,6,6.0,16,58
heavy,0,7,7.0,1,59
heavy,0,7,7.0,1,60
heavy,0,7,7.0,1,61
heavy,0,7,7.0,4,62
heavy,0,7,7.0,5,63
heavy,0,7,7.0,12,64
heavy,0,8,8.0,0,65
heavy,0,8,8.0,1,66
heavy,0,8,8.0,4,67
heavy,0,8,8.0,4,68
heavy,0,8,8.0,6,69
heavy,0,8,8.0,7,70
heavy,0,8,8.0,7,71
heavy,0,8,8.0,8,72
heavy,0,8,8.0,10,73
heavy,0,9,9.0,1,74
heavy,0,9,9.0,1,75
heavy,0,9,9.0,1,76
heavy,0,9,9.0,4,77
heavy,0,9,9.0,8,78
heavy,0,9,9.0,8,79
heavy,0,9,9.0,9,80
heavy,0,9,9.0,9,81
heavy,0,9,9.0,10,82
heavy,0,9,9.0,11,83
heavy,0,9,9.0,12,84
heavy,0,9,9.0,12,85
heavy,0,9,9.0,16,86
heavy,0,10,10.0,0,87
heavy,0,10,10.0,1,88
heavy,0,10,10.0,1,89
heavy,0,10,10.0,5,90
heavy,0,10,10.0,8,91
heavy,0,10,10.0,9,92
heavy,0,10,10.0,12,93
heavy,0,10,10.0,16,94
heavy,0,10,10.0,16,95
heavy,0,11,11.0,9,96
heavy,0,11,11.0,10,97
heavy,0,11,11.0,10,98
heavy,0,11,11.0,15,99
heavy,0,11,11.0,16,100
heavy,0,11,11.0,17,101
heavy,0,12,12.0,0,102
heavy,0,12,12.0,0,103
heavy,0,12,12.0,1,104
heavy,0,12,12.0,3,105
heavy,0,12,12.0,4,106
heavy,0,12,12.0,8,107
heavy,0,12,12.0,9,108
heavy,0,12,12.0,9,109
heavy,0,12,12.0,10,110
heavy,0,12,12.0,12,111
heavy,0,12,12.0,16,112
