scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio
heavy,0,0,0,0,0.0,6.565323169128831,943860148.127047,6196746898.915872,66.15080364934535,sensor,0,,,0,0.0
heavy,0,1,3,0,0.0,8.037812482092097,1253109802.5181017,10072261612.11196,59.08117255906223,text,1,0.37420985937797413,0.37420985937797413,0,0.0
heavy,0,2,7,0,0.0,6.277302780003376,1128481361.466421,7083819187.515159,67.30624128742842,text,0,,,0,0.0
heavy,0,3,8,0,0.0,3.3237481631255537,1003650537.5437012,3335881630.580851,77.79251846320844,video,0,,,0,0.0
heavy,0,4,11,0,0.0,3.4283190886192805,1400809234.6979392,4802421038.82911,56.3232719194272,sensor,0,,,0,0.0
heavy,0,5,15,0,0.0,8.502935507967935,1232509238.6154976,10479946568.92224,69.85570305921912,text,1,0.5973346297430173,0.5973346297430173,0,0.0
heavy,0,6,16,0,0.0,4.965533291938188,1309407781.8152585,6501907933.326601,60.864544623681475,video,1,1.0160590020787204,1.0160590020787204,1,0.5113124075890925
heavy,0,7,17,0,0.0,5.439718415766666,905756637.1850125,4927061059.4981985,69.49387887231536,sensor,0,,,0,0.0
heavy,0,8,0,1,1.0,2.665663297579833,1734527151.367327,4623665366.055583,62.61939086369476,text,0,,,0,0.0
heavy,0,9,0,1,1.0,2.682021720690726,930356368.3400992,2495235987.8710876,58.86927485966411,image,0,,,0,0.0
heavy,0,10,1,1,1.0,4.058731587108258,1462024375.027242,5933964512.045277,58.19117149291227,image,1,1.384928796858855,2.384928796858855,0,0.0
heavy,0,11,1,1,1.0,4.08398216311161,1130980768.8272498,4618905286.712744,64.34244900211375,image,0,,,0,0.0
heavy,0,12,11,1,1.0,3.989348774821329,1300901156.754685,5189748435.862952,54.29165546056862,sensor,1,1.3226312215763327,2.3226312215763327,0,0.0
heavy,0,13,13,1,1.0,5.2878869296883515,1073213895.7714633,5675033732.209837,61.35535432075433,image,0,,,0,0.0
heavy,0,14,13,1,1.0,2.5674656027087,1688130385.3117137,4334216697.175209,54.44267296427223,video,0,,,1,0.539652144632179
heavy,0,15,16,1,1.0,6.219527948915085,1434474735.9405363,8921755712.194752,70.26088041916772,sensor,0,,,1,0.6759857536188845
heavy,0,16,0,2,2.0,11.880521968618227,1053440379.3517046,12515421569.517447,59.27423839090493,image,0,,,0,0.0
heavy,0,17,1,2,2.0,8.989701956926453,1402271935.1058323,12606006759.163944,70.10078489139975,image,0,,,0,0.0
heavy,0,18,1,2,2.0,8.822619849527038,1199030481.9964185,10578590130.649574,64.15288479631621,video,0,,,0,0.0
heavy,0,19,3,2,2.0,16.007886665174823,1684755339.4720376,26969372532.816513,63.63210065767515,video,0,,,0,0.0
heavy,0,20,8,2,2.0,8.113689263761364,1144370952.8015392,9285070313.50621,67.78155564209861,video,1,0.37379144826485367,2.3737914482648534,1,0.36904205659650474
heavy,0,21,11,2,2.0,3.6613219008188227,1057392689.1014796,3871455010.372956,67.44596388224916,image,1,0.7455816583209723,2.7455816583209725,1,0.38734810892597615
heavy,0,22,5,3,3.0,2.03970064759823,1596911965.765396,3257222370.729041,66.72148944631037,sensor,0,,,0,0.0
heavy,0,23,10,3,3.0,4.5408776894213645,1145612267.410924,5202085185.813686,60.59527137150281,video,0,,,0,0.0
heavy,0,24,10,3,3.0,2.6571898659313313,1135551890.428997,3017376975.4870963,60.039290982107886,sensor,0,,,0,0.0
heavy,0,25,13,3,3.0,4.551010244306325,883009137.1414715,4018583628.9469256,66.35884987836445,image,0,,,0,0.0
heavy,0,26,15,3,3.0,6.708317951477072,1049733908.3512083,7041948821.666598,75.09790981210017,video,1,1.0801879134461565,4.0801879134461565,0,0.0
