scenario,episode_id,t_slot,t_time,agent_id,task_id
light,0,1,1.0,2,0
light,0,1,1.0,11,1
light,0,2,2.0,0,2
light,0,3,3.0,16,3
light,0,4,4.0,1,4
light,0,4,4.0,12,5
light,0,6,6.0,6,6
light,0,9,9.0,0,7
light,0,9,9.0,5,8
light,0,20,20.0,9,9
light,0,21,21.0,0,10
light,0,22,22.0,6,11
light,0,22,22.0,8,12
light,0,23,23.0,10,13
light,0,26,26.0,16,14
light,0,31,31.0,11,15
light,0,36,36.0,4,16
light,0,39,39.0,9,17
light,0,40,40.0,1,18
light,0,41,41.0,7,19
light,0,45,45.0,4,20
light,0,45,45.0,9,21
light,0,47,47.0,0,22
light,0,48,48.0,11,23
light,0,49,49.0,15,24
light,0,50,50.0,8,25
light,0,51,51.0,16,26
light,0,53,53.0,4,27
light,0,54,54.0,15,28
light,0,56,56.0,2,29
light,0,56,56.0,6,30
light,0,60,60.0,5,31
light,0,62,62.0,11,32
light,0,63,63.0,16,33
light,0,65,65.0,15,34
light,0,71,71.0,15,35
light,0,73,73.0,8,36
light,0,73,73.0,12,37
light,0,75,75.0,16,38
light,0,79,79.0,13,39
light,0,79,79.0,16,40
light,0,83,83.0,11,41
light,0,84,84.0,12,42
light,0,88,88.0,9,43
light,0,89,89.0,1,44
light,0,90,90.0,4,45
light,0,91,91.0,3,46
light,0,92,92.0,1,47
light,0,93,93.0,10,48
light,0,95,95.0,0,49
light,0,96,96.0,11,50
light,0,96,96.0,14,51
light,0,97,97.0,2,52
