scenario,episode_id,t_slot,t_time,agent_id,task_id
moderate,0,0,0.0,1,0
moderate,0,0,0.0,1,1
moderate,0,0,0.0,3,2
moderate,0,0,0.0,16,3
moderate,0,1,1.0,0,4
moderate,0,1,1.0,2,5
moderate,0,1,1.0,16,6
moderate,0,1,1.0,16,7
moderate,0,2,2.0,10,8
moderate,0,2,2.0,16,9
moderate,0,2,2.0,16,10
moderate,0,3,3.0,0,11
moderate,0,3,3.0,10,12
moderate,0,3,3.0,11,13
moderate,0,5,5.0,3,14
moderate,0,5,5.0,12,15
moderate,0,6,6.0,9,16
moderate,0,6,6.0,9,17
moderate,0,6,6.0,17,18
moderate,0,7,7.0,1,19
moderate,0,7,7.0,5,20
moderate,0,7,7.0,7,21
moderate,0,8,8.0,13,22
moderate,0,9,9.0,1,23
moderate,0,9,9.0,9,24
moderate,0,9,9.0,17,25
moderate,0,10,10.0,0,26
moderate,0,10,10.0,0,27
moderate,0,10,10.0,6,28
moderate,0,10,10.0,10,29
moderate,0,10,10.0,17,30
moderate,0,11,11.0,0,31
moderate,0,11,11.0,13,32
moderate,0,11,11.0,13,33
moderate,0,13,13.0,3,34
moderate,0,13,13.0,8,35
moderate,0,13,13.0,9,36
moderate,0,14,14.0,4,37
moderate,0,14,14.0,10,38
moderate,0,15,15.0,0,39
moderate,0,15,15.0,3,40
moderate,0,15,15.0,4,41
moderate,0,15,15.0,12,42
moderate,0,15,15.0,17,43
moderate,0,16,16.0,4,44
moderate,0,17,17.0,2,45
moderate,0,17,17.0,13,46
moderate,0,17,17.0,17,47
moderate,0,18,18.0,0,48
moderate,0,18,18.0,12,49
moderate,0,19,19.0,3,50
moderate,0,19,19.0,9,51
moderate,0,20,20.0,0,52
moderate,0,20,20.0,3,53
moderate,0,20,20.0,12,54
moderate,0,20,20.0,14,55
moderate,0,20,20.0,17,56
moderate,0,21,21.0,0,57
moderate,0,21,21.0,13,58
moderate,0,22,22.0,1,59
moderate,0,22,22.0,4,60
moderate,0,23,23.0,0,61
moderate,0,23,23.0,8,62
moderate,0,24,24.0,4,63
moderate,0,25,25.0,1,64
moderate,0,25,25.0,3,65
moderate,0,25,25.0,7,66
moderate,0,25,25.0,7,67
moderate,0,25,25.0,14,68
moderate,0,27,27.0,6,69
moderate,0,27,27.0,17,70
moderate,0,28,28.0,0,71
moderate,0,28,28.0,0,72
moderate,0,28,28.0,1,73
moderate,0,28,28.0,2,74
moderate,0,28,28.0,8,75
moderate,0,29,29.0,1,76
moderate,0,29,29.0,6,77
moderate,0,29,29.0,7,78
moderate,0,29,29.0,12,79
moderate,0,29,29.0,15,80
moderate,0,30,30.0,3,81
moderate,0,30,30.0,10,82
moderate,0,31,31.0,5,83
moderate,0,32,32.0,0,84
moderate,0,32,32.0,5,85
moderate,0,32,32.0,9,86
moderate,0,33,33.0,1,87
moderate,0,33,33.0,5,88
moderate,0,33,33.0,5,89
moderate,0,33,33.0,12,90
moderate,0,34,34.0,1,91
moderate,0,34,34.0,16,92
moderate,0,34,34.0,16,93
moderate,0,35,35.0,3,94
moderate,0,35,35.0,8,95
moderate,0,35,35.0,15,96
moderate,0,37,37.0,1,97
moderate,0,38,38.0,0,98
moderate,0,38,38.0,1,99
moderate,0,38,38.0,8,100
moderate,0,38,38.0,14,101
moderate,0,38,38.0,15,102
moderate,0,40,40.0,15,103
moderate,0,41,41.0,4,104
moderate,0,41,41.0,12,105
moderate,0,42,42.0,8,106
moderate,0,43,43.0,1,107
moderate,0,43,43.0,16,108
moderate,0,43,43.0,17,109
moderate,0,44,44.0,12,110
moderate,0,44,44.0,14,111
moderate,0,45,45.0,0,112
moderate,0,45,45.0,6,113
moderate,0,46,46.0,1,114
moderate,0,46,46.0,1,115
moderate,0,46,46.0,4,116
moderate,0,46,46.0,15,117
moderate,0,47,47.0,1,118
moderate,0,47,47.0,5,119
moderate,0,47,47.0,10,120
moderate,0,47,47.0,15,121
moderate,0,49,49.0,1,122
moderate,0,49,49.0,8,123
moderate,0,49,49.0,17,124
moderate,0,51,51.0,0,125
moderate,0,51,51.0,10,126
moderate,0,51,51.0,10,127
moderate,0,52,52.0,11,128
moderate,0,52,52.0,11,129
moderate,0,52,52.0,12,130
moderate,0,53,53.0,5,131
moderate,0,53,53.0,10,132
moderate,0,53,53.0,12,133
moderate,0,53,53.0,12,134
moderate,0,53,53.0,17,135
moderate,0,54,54.0,0,136
moderate,0,54,54.0,9,137
moderate,0,54,54.0,14,138
moderate,0,54,54.0,16,139
moderate,0,55,55.0,0,140
moderate,0,55,55.0,1,141
moderate,0,55,55.0,11,142
moderate,0,56,56.0,3,143
moderate,0,58,58.0,3,144
moderate,0,58,58.0,3,145
moderate,0,58,58.0,14,146
moderate,0,58,58.0,14,147
moderate,0,59,59.0,0,148
moderate,0,60,60.0,2,149
moderate,0,60,60.0,4,150
moderate,0,61,61.0,1,151
moderate,0,61,61.0,3,152
