scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio
moderate,0,0,1,0,0.0,3.527965547973691,1441377862.25846,5085131439.659815,66.66112613497579,sensor,0,,,0,0.0
moderate,0,1,1,0,0.0,3.3463818105380723,1239450265.3676982,4147673823.093052,57.305336717543405,text,0,,,0,0.0
moderate,0,2,3,0,0.0,1.6477088113067553,1504217160.1093917,2478511868.831069,63.01596409372651,video,0,,,0,0.0
moderate,0,3,16,0,0.0,4.108357868164236,1186482292.897841,4874493863.464389,66.09339496386633,text,0,,,1,0.4130550068422128
moderate,0,4,0,1,1.0,4.356831012847478,1116228638.3746521,4863219549.099197,63.59798187469486,text,1,0.7074610748270718,1.7074610748270718,1,0.7302487764425019
moderate,0,5,2,1,1.0,2.0861614461012277,1426056351.5143294,2974983780.496974,68.42619548685175,text,0,,,0,0.0
moderate,0,6,16,1,1.0,3.850287151670834,1310892534.038617,5047312681.0301075,61.81138082807936,image,1,0.32665175663116364,1.3266517566311635,1,0.6561630501810769
moderate,0,7,16,1,1.0,1.8295212296751289,1261576305.9363458,2308080634.56567,65.15749996694656,sensor,1,0.9999379759110072,1.9999379759110072,0,0.0
moderate,0,8,10,2,2.0,3.5169262373952224,1345415811.8129983,4731728168.771526,58.65145007411403,text,1,1.2248394966701122,3.2248394966701124,1,0.6756301279487732
moderate,0,9,16,2,2.0,6.408828534227755,1288449346.0458024,8257450933.845429,59.788049608142224,text,1,0.6149534815711837,2.6149534815711837,1,0.3746298123129696
moderate,0,10,16,2,2.0,2.3133732820103607,1371912300.245303,3173745260.64886,63.46412059274597,video,0,,,0,0.0
moderate,0,11,0,3,3.0,3.2306986627541847,1313392820.8616152,4243176430.028567,63.210576817108105,text,0,,,1,0.3714140436587351
moderate,0,12,10,3,3.0,2.929100811255654,1406124607.0532858,4118680727.246317,61.60930672830993,sensor,0,,,0,0.0
moderate,0,13,11,3,3.0,2.0085070402346603,1108993928.6475935,2227422113.266186,76.904982417866,text,0,,,0,0.0
moderate,0,14,3,5,5.0,2.211629858975774,948082982.8280659,2096808633.6093664,64.60474881677463,video,0,,,1,0.7079380209072906
moderate,0,15,12,5,5.0,1.9882969102714318,1325005785.8715165,2634504910.1401067,65.75220989107363,image,0,,,1,0.6143710545122953
moderate,0,16,9,6,6.0,3.4283556364723005,946191121.657121,3243879665.113239,54.57623195075993,text,0,,,0,0.0
moderate,0,17,9,6,6.0,5.015746130734484,1343649794.2203941,6739406256.423127,54.87038341061364,image,0,,,0,0.0
moderate,0,18,17,6,6.0,2.836246239089985,1736461789.6270628,4925033220.153222,65.94976615580654,image,0,,,0,0.0
moderate,0,19,1,7,7.0,3.076716759006608,978973297.4206907,3012023550.7941995,59.256441822761815,image,0,,,0,0.0
moderate,0,20,5,7,7.0,8.360221178623286,993686212.1484423,8307436515.709359,79.84942047119026,video,1,0.5318358693098062,7.531835869309806,1,0.6636305841353896
moderate,0,21,7,7,7.0,1.8062107524892386,1336716671.6735666,2414392025.408423,73.51528631290194,video,0,,,0,0.0
moderate,0,22,13,8,8.0,5.710937475492865,887784011.3489395,5070078980.556042,62.72756422045447,text,0,,,0,0.0
moderate,0,23,1,9,9.0,2.3952493456534887,1059119459.6860869,2536855192.781976,57.093810601735186,video,1,0.3852311744420487,9.38523117444205,1,0.7966685641299773
moderate,0,24,9,9,9.0,5.184769273800524,1397265283.915582,7244498111.393675,60.042360954803904,video,0,,,0,0.0
moderate,0,25,17,9,9.0,3.543698182794865,1307841105.0937457,4634594147.505135,61.87089473363091,text,0,,,0,0.0
moderate,0,26,0,10,10.0,5.958347788343917,1210026600.4844973,7209759318.834113,66.59752437770777,sensor,1,1.0974893643972585,11.097489364397259,0,0.0
moderate,0,27,0,10,10.0,4.990673742255834,1399051262.4212239,6982208399.435478,63.29118000883526,text,0,,,0,0.0
moderate,0,28,6,10,10.0,1.796745326579647,984507120.9522771,1768908568.555387,66.20392555242256,sensor,0,,,1,0.7828216856327813
moderate,0,29,10,10,10.0,6.63241230352742,1101889170.9432404,7308183294.487576,67.01328636231307,video,0,,,0,0.0
moderate,0,30,17,10,10.0,5.306236953121302,890968638.3182203,4727690712.716309,74.10862572156127,text,1,1.0598266198447004,11.059826619844701,0,0.0
moderate,0,31,0,11,11.0,2.476332171297044,1118272370.526055,2769213847.4062786,57.22111018010402,sensor,0,,,0,0.0
moderate,0,32,13,11,11.0,2.7354487828072385,1366854629.7665062,3738960833.269228,59.51140945865055,sensor,0,,,0,0.0
moderate,0,33,13,11,11.0,6.948856333252893,1013506725.3866423,7042712627.49737,52.50501933927144,image,0,,,1,0.39072230090020443
moderate,0,34,3,13,13.0,3.4767929352147062,1118881077.7765138,3890117826.5587993,66.9773510197227,sensor,0,,,0,0.0
moderate,0,35,8,13,13.0,6.132348001769986,1567977344.3521948,9615382734.458792,70.60452960803318,video,0,,,0,0.0
moderate,0,36,9,13,13.0,2.220890696312446,933615649.45734,2073458309.8115084,68.9673820484772,text,0,,,0,0.0
moderate,0,37,4,14,14.0,2.348415525972236,954144561.4379877,2240727902.1029406,79.88620261053889,sensor,0,,,0,0.0
moderate,0,38,10,14,14.0,1.907934374529464,1106939741.5973122,2111968383.5262742,61.41929899360148,image,1,0.6498933814530301,14.64989338145303,0,0.0
moderate,0,39,0,15,15.0,1.8756357627338267,1355018339.56005,2541520856.839038,71.21089355116183,sensor,0,,,0,0.0
moderate,0,40,3,15,15.0,2.899440897127508,1266712209.3425944,3672757184.6586595,53.503047760263065,sensor,0,,,1,0.5540395418176225
moderate,0,41,4,15,15.0,4.456348921180286,1071752697.6301348,4776103977.8561125,57.99780574666513,video,0,,,0,0.0
moderate,0,42,12,15,15.0,1.418326622639343,853573910.8119261,1210646602.094935,57.621562217679966,image,0,,,0,0.0
moderate,0,43,17,15,15.0,1.4495645513658655,1158737115.4332566,1679664246.8839858,68.37321248586738,text,0,,,0,0.0
