,mec_0,mec_1,mec_2,mec_3,mec_4,mec_5,mec_6,mec_7,mec_8,mec_9,mec_10,mec_11,mec_12,mec_13,mec_14,mec_15,mec_16,mec_17,cloud
mec_0,0.0,9.798800609449902,11.958295388571093,11.470404384171585,9.980195439399376,8.8140500666217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.91279981562592
mec_1,9.798800609449902,0.0,8.375143239602235,11.535600106180025,10.702584376249934,9.136893120492793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.60920207554163
mec_2,11.958295388571093,8.375143239602235,0.0,8.814631907625701,9.637714071509851,9.170700424264968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.05534806322484
mec_3,11.470404384171585,11.535600106180025,8.814631907625701,0.0,10.37705391001423,11.920252079923895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.85166371762908
mec_4,9.980195439399376,10.702584376249934,9.637714071509851,10.37705391001423,0.0,8.10538323609413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0763009651688
mec_5,8.8140500666217,9.136893120492793,9.170700424264968,11.920252079923895,8.10538323609413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0792791055983
mec_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.844690223161571,9.566567838535661,11.01158338193066,10.132206014485726,11.731761213672993,0.0,0.0,0.0,0.0,0.0,0.0,115.87637059619391
mec_7,0.0,0.0,0.0,0.0,0.0,0.0,9.844690223161571,0.0,8.17265481777462,11.317250164676846,9.944330066939582,11.698994881774604,0.0,0.0,0.0,0.0,0.0,0.0,85.49730491373893
mec_8,0.0,0.0,0.0,0.0,0.0,0.0,9.566567838535661,8.17265481777462,0.0,11.919271797879857,9.162931925532463,11.22074688068535,0.0,0.0,0.0,0.0,0.0,0.0,104.13111014716404
mec_9,0.0,0.0,0.0,0.0,0.0,0.0,11.01158338193066,11.317250164676846,11.919271797879857,0.0,11.8680001020066,11.393785145055949,0.0,0.0,0.0,0.0,0.0,0.0,87.20532264682294
mec_10,0.0,0.0,0.0,0.0,0.0,0.0,10.132206014485726,9.944330066939582,9.162931925532463,11.8680001020066,0.0,9.548734790752288,0.0,0.0,0.0,0.0,0.0,0.0,98.89380625765318
mec_11,0.0,0.0,0.0,0.0,0.0,0.0,11.731761213672993,11.698994881774604,11.22074688068535,11.393785145055949,9.548734790752288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.16242880696842
mec_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.573089728358958,10.155633210306574,11.202595781660758,10.69123291440641,11.439129446848145,94.68338717140213
mec_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.573089728358958,0.0,10.795539716597093,9.382485758460357,8.156515169162681,10.108953651086749,86.2148806997884
mec_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.155633210306574,10.795539716597093,0.0,8.183423253938845,9.055460579237527,8.857865582666564,100.51802149006446
mec_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.202595781660758,9.382485758460357,8.183423253938845,0.0,10.922031113226154,8.777507498932518,85.56329833615376
mec_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.69123291440641,8.156515169162681,9.055460579237527,10.922031113226154,0.0,11.48804541896262,109.44902761831553
mec_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.439129446848145,10.108953651086749,8.857865582666564,8.777507498932518,11.48804541896262,0.0,119.21419244342577
