scenario,episode_id,t_slot,t_time,agent_id,task_id
heavy,0,0,0.0,0,0
heavy,0,0,0.0,1,1
heavy,0,0,0.0,4,2
heavy,0,0,0.0,6,3
heavy,0,0,0.0,8,4
heavy,0,0,0.0,10,5
heavy,0,0,0.0,10,6
heavy,0,0,0.0,15,7
heavy,0,1,1.0,0,8
heavy,0,1,1.0,0,9
heavy,0,1,1.0,5,10
heavy,0,1,1.0,6,11
heavy,0,1,1.0,6,12
heavy,0,1,1.0,6,13
heavy,0,1,1.0,7,14
heavy,0,1,1.0,8,15
heavy,0,1,1.0,14,16
heavy,0,1,1.0,14,17
heavy,0,1,1.0,15,18
heavy,0,1,1.0,15,19
heavy,0,1,1.0,16,20
heavy,0,2,2.0,0,21
heavy,0,2,2.0,10,22
heavy,0,2,2.0,13,23
heavy,0,2,2.0,14,24
heavy,0,2,2.0,16,25
heavy,0,3,3.0,0,26
heavy,0,3,3.0,1,27
heavy,0,3,3.0,1,28
heavy,0,3,3.0,3,29
heavy,0,3,3.0,3,30
heavy,0,3,3.0,4,31
heavy,0,3,3.0,4,32
heavy,0,3,3.0,5,33
heavy,0,3,3.0,6,34
heavy,0,3,3.0,6,35
heavy,0,3,3.0,7,36
heavy,0,3,3.0,8,37
heavy,0,3,3.0,12,38
heavy,0,4,4.0,0,39
heavy,0,4,4.0,2,40
heavy,0,4,4.0,4,41
heavy,0,4,4.0,4,42
heavy,0,4,4.0,4,43
heavy,0,4,4.0,6,44
heavy,0,4,4.0,7,45
heavy,0,4,4.0,9,46
heavy,0,4,4.0,10,47
heavy,0,4,4.0,13,48
heavy,0,4,4.0,14,49
heavy,0,4,4.0,16,50
heavy,0,5,5.0,0,51
heavy,0,5,5.0,0,52
heavy,0,5,5.0,1,53
heavy,0,5,5.0,6,54
heavy,0,5,5.0,6,55
heavy,0,5,5.0,7,56
heavy,0,5,5.0,8,57
heavy,0,5,5.0,15,58
heavy,0,5,5.0,16,59
heavy,0,6,6.0,0,60
heavy,0,6,6.0,0,61
heavy,0,6,6.0,3,62
heavy,0,6,6.0,6,63
heavy,0,6,6.0,7,64
heavy,0,6,6.0,11,65
heavy,0,6,6.0,12,66
heavy,0,6,6.0,16,67
heavy,0,7,7.0,0,68
heavy,0,7,7.0,2,69
heavy,0,7,7.0,2,70
heavy,0,7,7.0,2,71
heavy,0,7,7.0,6,72
heavy,0,7,7.0,7,73
heavy,0,7,7.0,9,74
heavy,0,7,7.0,14,75
heavy,0,7,7.0,15,76
heavy,0,8,8.0,0,77
heavy,0,8,8.0,2,78
heavy,0,8,8.0,5,79
heavy,0,8,8.0,10,80
heavy,0,8,8.0,14,81
heavy,0,8,8.0,16,82
heavy,0,8,8.0,17,83
heavy,0,8,8.0,17,84
heavy,0,9,9.0,0,85
heavy,0,9,9.0,3,86
heavy,0,9,9.0,4,87
heavy,0,9,9.0,4,88
heavy,0,9,9.0,5,89
heavy,0,9,9.0,13,90
heavy,0,9,9.0,17,91
heavy,0,10,10.0,0,92
heavy,0,10,10.0,1,93
heavy,0,10,10.0,2,94
heavy,0,10,10.0,2,95
heavy,0,10,10.0,6,96
heavy,0,10,10.0,6,97
heavy,0,10,10.0,6,98
heavy,0,10,10.0,7,99
heavy,0,10,10.0,8,100
heavy,0,10,10.0,10,101
heavy,0,10,10.0,10,102
heavy,0,10,10.0,10,103
heavy,0,10,10.0,11,104
heavy,0,10,10.0,16,105
heavy,0,10,10.0,17,106
heavy,0,11,11.0,0,107
heavy,0,11,11.0,5,108
heavy,0,11,11.0,5,109
heavy,0,11,11.0,8,110
heavy,0,11,11.0,8,111
heavy,0,11,11.0,10,112
heavy,0,11,11.0,10,113
heavy,0,11,11.0,13,114
heavy,0,11,11.0,14,115
heavy,0,11,11.0,14,116
heavy,0,11,11.0,17,117
heavy,0,12,12.0,1,118
heavy,0,12,12.0,3,119
heavy,0,12,12.0,4,120
heavy,0,12,12.0,5,121
heavy,0,12,12.0,6,122
heavy,0,12,12.0,7,123
heavy,0,12,12.0,14,124
heavy,0,12,12.0,17,125
heavy,0,12,12.0,17,126
heavy,0,13,13.0,0,127
heavy,0,13,13.0,7,128
heavy,0,13,13.0,7,129
heavy,0,13,13.0,10,130
heavy,0,13,13.0,11,131
heavy,0,13,13.0,13,132
heavy,0,13,13.0,14,133
heavy,0,13,13.0,17,134
heavy,0,13,13.0,17,135
heavy,0,14,14.0,2,136
heavy,0,14,14.0,8,137
heavy,0,14,14.0,13,138
heavy,0,14,14.0,13,139
heavy,0,14,14.0,16,140
heavy,0,14,14.0,17,141
heavy,0,14,14.0,17,142
heavy,0,15,15.0,0,143
heavy,0,15,15.0,0,144
heavy,0,15,15.0,5,145
heavy,0,15,15.0,7,146
heavy,0,15,15.0,12,147
heavy,0,15,15.0,12,148
heavy,0,15,15.0,14,149
heavy,0,15,15.0,14,150
heavy,0,15,15.0,15,151
heavy,0,15,15.0,16,152
heavy,0,15,15.0,16,153
