scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
light,0,0,1,0,0,2.000000991,999998403.4,1999997798,63.99999522,video,1,1.339893161,1.339893161,1,0.424899968,continuous
light,0,1,17,0,0,2.000001036,1000000212,2000001461,64.00002917,text,0,,,0,0,discrete
light,0,2,17,7,7,1.999998715,1000001518,2000001751,63.99985698,text,0,,,1,0.358161511,continuous
light,0,3,3,9,9,2.000000254,999997899.9,1999996053,63.99996382,image,0,,,0,0,discrete
light,0,4,15,13,13,1.999999279,999998871.4,1999997022,64.00007601,image,0,,,0,0,discrete
light,0,5,15,14,14,1.999998643,1000000433,1999999510,63.99991015,sensor,0,,,0,0,discrete
light,0,6,15,16,16,2.00000159,999998957.8,1999999506,63.99997307,image,0,,,1,0.735628888,continuous
light,0,7,3,17,17,2.000000172,999999613.3,1999999398,63.99998782,video,0,,,0,0,discrete
light,0,8,7,17,17,2.000000833,999999164,1999999161,63.99995917,image,0,,,1,0.708036367,continuous
light,0,9,15,17,17,2.00000335,999999168.7,2000001688,63.99995714,image,1,1.624609552,18.62460955,1,0.551620451,continuous
light,0,10,17,18,18,1.999998872,999999274.8,1999997422,64.00002864,image,0,,,0,0,discrete
light,0,11,14,20,20,2.000000527,1000001512,2000003552,63.99998311,text,1,1.278279069,21.27827907,0,0,discrete
light,0,12,15,23,23,2.00000459,1000001027,2000006644,64.00003579,video,0,,,1,0.748484979,continuous
light,0,13,10,24,24,1.999999481,999999706.5,1999998894,64.00010878,sensor,0,,,0,0,discrete
light,0,14,14,24,24,1.999999288,999998942.7,1999997173,63.99995092,video,1,1.201165189,25.20116519,0,0,discrete
light,0,15,12,25,25,1.999999028,999999641.9,1999998312,63.99989844,text,0,,,0,0,discrete
light,0,16,7,26,26,2.000000355,1000001275,2000002904,64.0001009,text,0,,,0,0,discrete
light,0,17,10,26,26,1.999994479,1000000323,1999995126,64.00001063,text,0,,,0,0,discrete
light,0,18,16,26,26,2.000000982,1000000217,2000001416,64.00000451,text,0,,,1,0.460393993,continuous
light,0,19,6,29,29,2.00000099,999998830.9,1999998652,63.99994866,text,0,,,0,0,discrete
light,0,20,13,30,30,2.000002874,999999698.1,2000002270,63.9999814,text,0,,,0,0,discrete
light,0,21,2,32,32,2.000001362,999999305.3,1999999973,63.99989791,text,0,,,0,0,discrete
light,0,22,2,33,33,2.000000215,1000000919,2000002052,64.00005234,text,1,1.810870321,34.81087032,0,0,discrete
light,0,23,1,34,34,2.000000077,1000000269,2000000616,63.99992435,image,1,1.889882774,35.88988277,0,0,discrete
light,0,24,6,34,34,2.000002102,1000001001,2000004104,64.0000104,text,0,,,0,0,discrete
light,0,25,7,35,35,1.99999832,1000000312,1999998944,63.99992783,video,0,,,0,0,discrete
light,0,26,2,36,36,2.000001672,999999753.5,2000001179,64.00002398,sensor,0,,,1,0.664648022,continuous
light,0,27,4,36,36,1.999998444,999999553.3,1999997551,64.00009584,text,0,,,0,0,discrete
light,0,28,16,36,36,2.000003337,1000000554,2000004445,64.00006933,sensor,0,,,0,0,discrete
light,0,29,8,38,38,2.00000422,999997379.8,1999998979,63.9999608,image,0,,,1,0.408950442,continuous
light,0,30,8,41,41,1.999996743,999999847.2,1999996438,64.00011834,text,0,,,0,0,discrete
light,0,31,5,44,44,2.000001001,999998087.5,1999997176,64.00011549,text,0,,,0,0,discrete
light,0,32,4,47,47,2.000000539,999999675,1999999889,64.00001262,sensor,0,,,1,0.593398716,continuous
light,0,33,14,49,49,1.999997814,1000000961,1999999736,64.00010778,video,0,,,0,0,discrete
light,0,34,6,50,50,2.000004536,999999956.5,2000004448,64.00000313,image,1,1.048535202,51.0485352,1,0.413789326,continuous
light,0,35,13,50,50,2.000002541,999999329.1,2000001199,64.00002412,text,0,,,0,0,discrete
light,0,36,13,51,51,2.000000581,999999442.3,1999999466,64.00009629,text,0,,,0,0,discrete
light,0,37,8,54,54,1.999999751,999998827.7,1999997407,63.99987807,image,0,,,1,0.690007465,continuous
light,0,38,16,56,56,2.00000116,999998733.9,1999998627,63.99992841,video,0,,,0,0,discrete
