scenario,episode_id,t_slot,t_time,agent_id,task_id
moderate,0,1,1.0,3,0
moderate,0,2,2.0,2,1
moderate,0,2,2.0,2,2
moderate,0,2,2.0,13,3
moderate,0,2,2.0,14,4
moderate,0,2,2.0,17,5
moderate,0,3,3.0,4,6
moderate,0,3,3.0,9,7
moderate,0,3,3.0,15,8
moderate,0,4,4.0,3,9
moderate,0,4,4.0,6,10
moderate,0,4,4.0,13,11
moderate,0,4,4.0,14,12
moderate,0,5,5.0,1,13
moderate,0,5,5.0,4,14
moderate,0,5,5.0,6,15
moderate,0,5,5.0,9,16
moderate,0,5,5.0,15,17
moderate,0,5,5.0,17,18
moderate,0,6,6.0,1,19
moderate,0,6,6.0,2,20
moderate,0,7,7.0,3,21
moderate,0,7,7.0,12,22
moderate,0,8,8.0,0,23
moderate,0,8,8.0,1,24
moderate,0,8,8.0,2,25
moderate,0,8,8.0,2,26
moderate,0,9,9.0,3,27
moderate,0,9,9.0,5,28
moderate,0,9,9.0,5,29
moderate,0,9,9.0,11,30
moderate,0,9,9.0,17,31
moderate,0,10,10.0,6,32
moderate,0,10,10.0,9,33
moderate,0,10,10.0,16,34
moderate,0,11,11.0,2,35
moderate,0,11,11.0,8,36
moderate,0,11,11.0,12,37
moderate,0,11,11.0,14,38
moderate,0,12,12.0,14,39
moderate,0,13,13.0,1,40
moderate,0,14,14.0,4,41
moderate,0,14,14.0,11,42
moderate,0,14,14.0,12,43
moderate,0,14,14.0,14,44
moderate,0,14,14.0,15,45
moderate,0,15,15.0,7,46
moderate,0,17,17.0,1,47
moderate,0,17,17.0,14,48
moderate,0,17,17.0,16,49
moderate,0,18,18.0,1,50
moderate,0,18,18.0,13,51
moderate,0,19,19.0,3,52
moderate,0,20,20.0,1,53
moderate,0,20,20.0,3,54
moderate,0,20,20.0,6,55
moderate,0,21,21.0,2,56
moderate,0,21,21.0,12,57
moderate,0,22,22.0,9,58
moderate,0,22,22.0,13,59
moderate,0,23,23.0,14,60
moderate,0,26,26.0,9,61
moderate,0,27,27.0,1,62
moderate,0,27,27.0,1,63
moderate,0,27,27.0,12,64
moderate,0,27,27.0,12,65
moderate,0,27,27.0,13,66
moderate,0,27,27.0,13,67
moderate,0,28,28.0,5,68
moderate,0,28,28.0,8,69
moderate,0,28,28.0,14,70
moderate,0,29,29.0,5,71
moderate,0,29,29.0,13,72
moderate,0,29,29.0,14,73
moderate,0,30,30.0,12,74
moderate,0,30,30.0,14,75
moderate,0,30,30.0,15,76
moderate,0,31,31.0,2,77
moderate,0,31,31.0,7,78
moderate,0,31,31.0,9,79
moderate,0,32,32.0,0,80
moderate,0,32,32.0,1,81
moderate,0,32,32.0,7,82
moderate,0,32,32.0,13,83
moderate,0,33,33.0,4,84
moderate,0,33,33.0,8,85
moderate,0,33,33.0,9,86
moderate,0,33,33.0,11,87
moderate,0,33,33.0,14,88
moderate,0,33,33.0,17,89
moderate,0,34,34.0,7,90
moderate,0,34,34.0,13,91
moderate,0,35,35.0,9,92
moderate,0,35,35.0,17,93
moderate,0,36,36.0,16,94
moderate,0,37,37.0,1,95
moderate,0,38,38.0,2,96
moderate,0,38,38.0,3,97
moderate,0,38,38.0,3,98
moderate,0,38,38.0,7,99
moderate,0,38,38.0,7,100
moderate,0,38,38.0,12,101
moderate,0,39,39.0,3,102
moderate,0,39,39.0,5,103
moderate,0,39,39.0,15,104
moderate,0,40,40.0,15,105
moderate,0,41,41.0,3,106
moderate,0,42,42.0,3,107
moderate,0,42,42.0,6,108
moderate,0,42,42.0,6,109
moderate,0,42,42.0,6,110
moderate,0,42,42.0,8,111
moderate,0,42,42.0,10,112
moderate,0,42,42.0,12,113
moderate,0,43,43.0,5,114
moderate,0,43,43.0,6,115
moderate,0,43,43.0,6,116
moderate,0,43,43.0,9,117
moderate,0,43,43.0,13,118
moderate,0,43,43.0,15,119
moderate,0,43,43.0,16,120
moderate,0,44,44.0,2,121
moderate,0,44,44.0,3,122
moderate,0,44,44.0,6,123
moderate,0,44,44.0,13,124
moderate,0,45,45.0,1,125
moderate,0,45,45.0,17,126
moderate,0,46,46.0,7,127
moderate,0,46,46.0,7,128
moderate,0,46,46.0,9,129
moderate,0,47,47.0,1,130
moderate,0,47,47.0,2,131
moderate,0,47,47.0,8,132
moderate,0,47,47.0,10,133
moderate,0,47,47.0,11,134
moderate,0,48,48.0,2,135
moderate,0,48,48.0,6,136
moderate,0,48,48.0,10,137
moderate,0,48,48.0,11,138
moderate,0,49,49.0,7,139
moderate,0,49,49.0,7,140
moderate,0,49,49.0,12,141
moderate,0,49,49.0,13,142
moderate,0,50,50.0,9,143
moderate,0,50,50.0,17,144
moderate,0,51,51.0,7,145
moderate,0,51,51.0,15,146
moderate,0,52,52.0,8,147
moderate,0,52,52.0,10,148
moderate,0,53,53.0,1,149
moderate,0,53,53.0,12,150
moderate,0,53,53.0,15,151
moderate,0,54,54.0,2,152
moderate,0,54,54.0,2,153
moderate,0,55,55.0,14,154
moderate,0,56,56.0,5,155
moderate,0,56,56.0,9,156
moderate,0,57,57.0,16,157
moderate,0,57,57.0,16,158
moderate,0,58,58.0,15,159
moderate,0,59,59.0,2,160
moderate,0,59,59.0,13,161
moderate,0,60,60.0,2,162
moderate,0,60,60.0,5,163
moderate,0,60,60.0,14,164
moderate,0,60,60.0,14,165
moderate,0,61,61.0,6,166
moderate,0,61,61.0,16,167
moderate,0,62,62.0,15,168
moderate,0,63,63.0,0,169
moderate,0,63,63.0,1,170
moderate,0,63,63.0,4,171
moderate,0,63,63.0,14,172
moderate,0,64,64.0,1,173
moderate,0,64,64.0,2,174
moderate,0,64,64.0,8,175
moderate,0,64,64.0,12,176
moderate,0,65,65.0,3,177
moderate,0,65,65.0,8,178
moderate,0,65,65.0,13,179
moderate,0,65,65.0,17,180
moderate,0,66,66.0,2,181
moderate,0,66,66.0,10,182
moderate,0,66,66.0,12,183
moderate,0,67,67.0,6,184
moderate,0,67,67.0,9,185
moderate,0,67,67.0,12,186
moderate,0,67,67.0,15,187
moderate,0,67,67.0,17,188
moderate,0,68,68.0,0,189
moderate,0,68,68.0,6,190
moderate,0,68,68.0,11,191
moderate,0,69,69.0,0,192
moderate,0,69,69.0,7,193
moderate,0,69,69.0,12,194
moderate,0,70,70.0,6,195
moderate,0,71,71.0,1,196
moderate,0,71,71.0,3,197
moderate,0,71,71.0,6,198
moderate,0,71,71.0,7,199
moderate,0,72,72.0,6,200
moderate,0,72,72.0,12,201
moderate,0,73,73.0,0,202
moderate,0,73,73.0,3,203
moderate,0,73,73.0,14,204
moderate,0,74,74.0,6,205
moderate,0,74,74.0,6,206
moderate,0,75,75.0,3,207
moderate,0,75,75.0,14,208
