agent_id,f_local,m_local,lam_sec
0,2075234190.5487783,4177077472.082653,0.08358803783119872
1,1845675481.808815,4444750864.243421,0.11745430404531963
2,1422350879.5593193,3116790674.407622,0.19024948660630675
3,862766211.3714311,3819530831.046496,0.1800223078614594
4,1576391276.64743,4456416730.99606,0.12487389258240905
5,1361573756.012886,6518273844.682864,0.09324106087870587
6,1146421390.688363,4031095266.760364,0.19755231136039103
7,1093930078.4102063,5125594406.895895,0.1601798480212747
8,821392453.5014893,5099239982.66046,0.08934737296966
9,1378499877.5779154,3320898802.5500503,0.11507791203842677
10,1967237614.9271045,3878558132.0642343,0.0669431549594336
11,1937472601.2864902,5303971139.728006,0.05149196289839378
12,1973372793.8333359,4718837422.485313,0.1876534625340322
13,2334762077.015009,4156023983.9274054,0.171413424220342
14,1989450886.7755337,5301096958.236383,0.16934759893797335
15,2245626967.6800814,3973902321.228985,0.11452574192850282
16,969963266.0511726,5954812618.077239,0.10930582129994518
17,1298185565.2898846,6890123320.152848,0.1065910545968349
